Sensor,Timestamp,X,Y,Z
Accelerometer,6997579112,0.2801216,0.8451532,10.287885
Accelerometer,6997579117,0.25857377,0.878672,10.21127
Accelerometer,6997579159,0.23702596,0.91458505,10.218452
Accelerometer,6997579162,0.21787235,0.9624691,10.199299
Accelerometer,6997579163,0.20111294,0.9624691,10.201694
Accelerometer,6997579165,0.21308395,0.93852705,10.316615
Accelerometer,6997579166,0.21547815,0.91458505,10.388441
Accelerometer,6997579168,0.21547815,0.91458505,10.388441
Accelerometer,6997579192,0.29209262,0.80205756,10.424355
Accelerometer,6997579194,0.33518824,0.89303726,10.15381
Accelerometer,6997579212,0.33518824,0.89303726,10.15381
Accelerometer,6997579213,0.33518824,0.89303726,10.15381
Accelerometer,6997579216,0.33518824,0.89303726,10.15381
Accelerometer,6997579220,0.33518824,0.89303726,10.15381
Accelerometer,6997579226,0.34955344,0.842759,10.15381
Gyroscope,6997579228,-0.0013315806,0.036485307,-0.039414786
Accelerometer,6997579233,0.34476504,0.7733272,10.163386
Accelerometer,6997579241,0.28491,0.7110779,10.163386
Accelerometer,6997579242,0.25617957,0.6967127,10.170568
Accelerometer,6997579246,0.24181437,0.7062895,10.1226845
Accelerometer,6997579261,0.20829555,0.7302315,10.151415
Accelerometer,6997579263,0.16280572,0.7182605,10.144233
Gyroscope,6997579265,-0.010652645,0.03169162,-0.052996907
Accelerometer,6997579266,0.107739076,0.6488287,10.134656
Accelerometer,6997579268,0.10295067,0.59136784,10.15381
Accelerometer,6997579271,0.11252748,0.5386954,10.134656
Accelerometer,6997579272,0.12449849,0.58418524,10.077195
Accelerometer,6997579274,0.14604631,0.6512229,10.067618
Accelerometer,6997579275,0.12210429,0.7062895,10.072407
Gyroscope,6997579277,0.03888215,-0.007190535,5.326322E-4
Accelerometer,6997579279,0.093373865,0.6943185,10.041282
Accelerometer,6997579281,0.090979666,0.6703765,10.024523
Accelerometer,6997579282,0.076614454,0.6488287,10.043676
Accelerometer,6997579284,0.079008654,0.6488287,10.014946
Accelerometer,6997579285,0.11252748,0.6823475,9.983821
Accelerometer,6997579287,0.11971009,0.7230489,9.964667
Gyroscope,6997579289,0.051931642,-0.022104237,0.032490566
Accelerometer,6997579291,0.12449849,0.7637503,9.947908
Accelerometer,6997579354,0.17477672,0.7757214,9.890448
Accelerometer,6997579362,0.17238252,0.7254431,9.931149
Accelerometer,6997579390,0.17717093,0.7230489,9.878476
Accelerometer,6997579400,0.14604631,0.7038953,9.864111
Accelerometer,6997579407,0.15562311,0.7541735,9.854534
Gyroscope,6997579415,0.007456851,-0.011185277,0.011984225
Accelerometer,6997579439,0.1316811,0.7637503,9.854534
Accelerometer,6997579442,0.12689269,0.7733272,9.878476
Accelerometer,6997579449,0.12210429,0.7565677,9.880871
Accelerometer,6997579459,0.10055647,0.7110779,9.91439
Accelerometer,6997579462,0.08140286,0.6344634,9.935937
Accelerometer,6997579471,0.110133275,0.56982,9.947908
Gyroscope,6997579478,-0.06737798,-0.015446335,2.663161E-4
Accelerometer,6997579492,0.095768064,0.5267244,9.969456
Accelerometer,6997579518,0.11252748,0.5530606,9.986216
Accelerometer,6997579521,0.090979666,0.5434838,9.959879
Accelerometer,6997579524,0.08379706,0.545878,9.9550905
Accelerometer,6997579533,0.047884032,0.50038815,10.031705
Accelerometer,6997579538,0.05267244,0.4285621,10.01734
Gyroscope,6997579551,-0.0644485,-0.07350325,0.03568636
Accelerometer,6997579568,0.07182605,0.34715924,10.0269165
Accelerometer,6997579572,0.06703765,0.31603462,9.974244
Accelerometer,6997579574,0.12210429,0.29688102,9.89763
Accelerometer,6997579580,0.20829555,0.33039984,9.859323
Accelerometer,6997579582,0.23223756,0.320823,9.859323
Accelerometer,6997579585,0.38307226,0.2657564,9.969456
Gyroscope,6997579601,-0.040213734,-0.16165388,0.12117383
Accelerometer,6997579604,0.4189853,0.2705448,10.065224
Accelerometer,6997579608,0.4333505,0.25617957,10.129868
Accelerometer,6997579611,0.48602295,0.19153613,10.177752
Accelerometer,6997579613,0.47884035,0.18914193,10.192117
Accelerometer,6997579622,0.5291186,0.2681506,10.158598
Accelerometer,6997579626,0.62488663,0.34955344,10.127473
Gyroscope,6997579630,-0.016777916,-0.14514229,0.17310548
Accelerometer,6997579633,0.6607997,0.3878607,10.117896
Accelerometer,6997579637,0.7517793,0.45968673,10.163386
Accelerometer,6997579641,0.7589619,0.50517654,10.204087
Accelerometer,6997579644,0.7493851,0.50278234,10.271125
Accelerometer,6997579649,0.7302315,0.47165772,10.292673
Accelerometer,6997579652,0.7685388,0.5506664,10.328587
Gyroscope,6997579656,-0.06018744,-0.052996907,0.1257012
Accelerometer,6997579659,0.7733272,0.60094464,10.3214035
Accelerometer,6997579662,0.81402856,0.7015011,10.268731
Accelerometer,6997579692,0.8331822,0.7374141,10.244789
Accelerometer,6997579711,0.8619126,0.7086837,10.3214035
Accelerometer,6997579717,0.82599956,0.6607997,10.263943
Accelerometer,6997579725,0.7517793,0.60333884,10.30225
Gyroscope,6997579732,-0.06338324,0.043942157,0.009853696
Accelerometer,6997579740,0.7469909,0.61770403,10.311827
Accelerometer,6997579744,0.7254431,0.6727707,10.287885
Accelerometer,6997579749,0.7613561,0.7015011,10.261548
Accelerometer,6997579778,0.78769237,0.7230489,10.225636
Accelerometer,6997579782,0.7374141,0.6655881,10.216059
Accelerometer,6997579797,0.6703765,0.5770026,10.218452
Gyroscope,6997579808,-0.043409526,0.073236935,-0.09081379
Accelerometer,6997579811,0.6512229,0.5267244,10.244789
Accelerometer,6997579813,0.63206923,0.50517654,10.242394
Accelerometer,6997579821,0.641646,0.50038815,10.213664
Accelerometer,6997579824,0.6440403,0.51954174,10.199299
Accelerometer,6997579828,0.6440403,0.5626374,10.151415
Accelerometer,6997579831,0.63206923,0.5291186,10.096349
Gyroscope,6997579839,0.002130529,0.05912218,-0.109988555
Accelerometer,6997579842,0.5770026,0.49559975,10.127473
Accelerometer,6997579845,0.5506664,0.46447513,10.125079
Accelerometer,6997579849,0.50278234,0.48123455,10.158598
Accelerometer,6997579857,0.49320555,0.48841715,10.108319
Accelerometer,6997579881,0.47884035,0.49320555,10.048465
Accelerometer,6997579898,0.48841715,0.51235914,10.01734
Gyroscope,6997579908,0.01784318,0.02609898,-0.11132014
Accelerometer,6997579911,0.46686932,0.47405192,10.022128
