Sensor,Timestamp,X,Y,Z
Accelerometer,6998309952,0.92176765,0.81163436,9.835381
Accelerometer,6998309955,0.7469909,0.80924016,9.509769
Accelerometer,6998309956,0.7469909,0.80924016,9.509769
Accelerometer,6998309958,0.7469909,0.80924016,9.509769
Accelerometer,6998309959,0.7469909,0.80924016,9.509769
Accelerometer,6998309961,0.7469909,0.80924016,9.509769
Accelerometer,6998309964,0.7230489,0.79726917,9.449914
Gyroscope,6998309966,-0.049534798,0.11638014,-0.28016454
Accelerometer,6998309977,0.7254431,0.80205756,9.528923
Accelerometer,6998309979,0.7445967,0.770933,9.569624
Accelerometer,6998309983,0.7110779,0.7469909,9.454702
Accelerometer,6998309988,0.7565677,0.81163436,9.394848
Accelerometer,6998309992,0.91458505,0.7230489,9.239224
Accelerometer,6998309998,1.0295067,0.51475334,9.215282
Gyroscope,6998309999,-0.11638014,0.03169162,-0.28176245
Accelerometer,6998310003,1.1420342,0.24660277,9.306262
Accelerometer,6998310008,1.3335704,0.031124622,9.55047
Accelerometer,6998310011,1.3838485,-0.047884032,9.809045
Accelerometer,6998310015,1.2210429,-0.016759412,10.0508585
Accelerometer,6998310106,0.9696517,0.20590134,10.156203
Accelerometer,6998310113,0.7685388,0.49559975,10.323798
Gyroscope,6998310117,-0.20719394,0.080960095,-0.26897928
Accelerometer,6998310122,0.5746084,0.533907,10.204087
Accelerometer,6998310127,0.33997664,0.48602295,10.108319
Accelerometer,6998310133,0.2705448,0.37349546,10.172963
Accelerometer,6998310139,0.23702596,0.1412579,10.141838
Accelerometer,6998310143,0.11252748,-0.10534488,9.7803135
Accelerometer,6998310147,0.01436521,-0.1412579,9.617508
Gyroscope,6998310151,-0.31824777,0.020506341,-0.299073
Accelerometer,6998310155,0.062249243,-0.17956513,9.548077
Accelerometer,6998310158,0.272939,-0.19393034,9.564836
Accelerometer,6998310162,0.4381389,-0.18195933,9.639056
Accelerometer,6998310165,0.63206923,-0.20111294,9.703699
Accelerometer,6998310170,0.7015011,-0.22266077,9.744401
Accelerometer,6998310173,0.7206547,-0.18914193,9.682152
Gyroscope,6998310179,-0.1635181,-0.104928546,-0.23702134
Accelerometer,6998310184,0.7350199,-0.06464344,9.636662
Accelerometer,6998310187,0.7469909,0.08379706,9.358934
Accelerometer,6998310191,0.6344634,0.1604115,9.23683
Accelerometer,6998310194,0.62009823,0.07182605,9.198523
Accelerometer,6998310273,0.6584055,-0.05267244,9.23683
Accelerometer,6998310285,0.6943185,-0.06703765,9.299079
Gyroscope,6998310292,-0.330232,-0.13821806,-0.2615224
Accelerometer,6998310303,0.7230489,-0.17717093,9.287108
Accelerometer,6998310307,0.80924016,-0.34476504,9.3421755
Accelerometer,6998310316,0.8499416,-0.5746084,9.399636
Accelerometer,6998310321,1.0127473,-0.6392518,9.421184
Accelerometer,6998310324,1.1324574,-0.5674258,9.459491
Accelerometer,6998310333,1.2401965,-0.48602295,9.368511
Gyroscope,6998310341,-0.25379926,-0.20692763,-0.31824777
Accelerometer,6998310350,1.2210429,-0.4189853,9.43076
Accelerometer,6998310353,1.1587936,-0.48123455,9.526528
Accelerometer,6998310372,0.91937345,-0.61052144,9.792285
Accelerometer,6998310385,1.0366893,-0.8858546,10.1226845
Accelerometer,6998310418,1.0510546,-1.1468226,10.4171715
Accelerometer,6998310423,0.9648633,-1.376666,10.78109
Gyroscope,6998310457,-0.45353633,-0.1403486,-0.22264028
Accelerometer,6998310481,1.4987702,-1.4676456,10.498574
Accelerometer,6998310485,1.4820108,-1.292869,10.479421
Accelerometer,6998310490,1.316811,-1.1420342,10.472239
Accelerometer,6998310494,1.1851299,-1.127669,10.491392
Accelerometer,6998310500,1.127669,-1.163582,10.539276
Accelerometer,6998310503,1.1803415,-1.283292,10.536881
Gyroscope,6998310507,-0.47351006,-0.11744541,-0.19520971
Accelerometer,6998310512,1.2378023,-1.3910311,10.512939
Accelerometer,6998310517,1.2258313,-1.5705963,10.527305
Accelerometer,6998310522,1.0582372,-1.6687586,10.45069
Accelerometer,6998310526,0.9720459,-1.6687586,10.45069
Accelerometer,6998310529,1.0055647,-1.541866,10.405201
Accelerometer,6998310533,1.0319009,-1.4053963,10.196905
Gyroscope,6998310541,-0.24900557,-0.047404267,-0.10333065
Accelerometer,6998310545,1.1324574,-1.283292,10.022128
Accelerometer,6998310549,1.1468226,-1.1899183,9.844957
Accelerometer,6998310553,1.1252748,-1.1803415,9.674969
Accelerometer,6998310556,1.1324574,-1.0989386,9.428367
Accelerometer,6998310561,1.1707647,-1.0031705,9.0716305
Accelerometer,6998310564,1.2473791,-0.8499416,8.726865
Gyroscope,6998310569,-0.6673882,0.057257965,-0.19068234
Accelerometer,6998310573,1.3072342,-0.7038953,8.336611
Accelerometer,6998310577,1.3383588,-0.7038953,7.9463553
Accelerometer,6998310581,1.3982137,-0.80684596,7.699753
Accelerometer,6998310584,1.4413095,-1.0055647,7.908048
Accelerometer,6998310589,1.2641385,-1.769315,7.9511437
Accelerometer,6998310592,1.0390835,-2.566584,8.121132
Gyroscope,6998310595,-1.6389093,0.17763285,-0.51931643
Accelerometer,6998310599,1.0342951,-3.2034419,8.614338
Accelerometer,6998310603,1.2114661,-3.5553896,9.02614
Accelerometer,6998310608,1.4700398,-3.502717,9.176975
Accelerometer,6998310612,1.7142484,-3.265691,9.076419
Accelerometer,6998310636,1.541866,-2.882619,8.939949
Accelerometer,6998310651,1.1947067,-2.6192567,9.150639
Gyroscope,6998310655,-0.42663842,-0.2247708,-0.5701828
Accelerometer,6998310660,0.9792285,-2.6479871,9.332599
Accelerometer,6998310663,0.82360536,-2.9113493,9.603143
Accelerometer,6998310668,0.8738836,-3.514688,9.842564
Accelerometer,6998310677,1.0462662,-4.235343,10.151415
Accelerometer,6998310682,1.1587936,-4.6926355,10.409989
Accelerometer,6998310690,1.2354081,-4.6232033,10.395624
Gyroscope,6998310694,-0.19441076,-0.52437645,-0.62717444
Accelerometer,6998310703,1.3814543,-4.110844,10.132261
Accelerometer,6998310708,1.4987702,-3.6008794,9.959879
Accelerometer,6998310720,1.6208745,-3.4237084,9.868899
Accelerometer,6998310729,1.8507179,-3.4931402,9.964667
Accelerometer,6998310738,1.9201498,-3.7205894,10.163386
Accelerometer,6998310750,1.9129672,-3.9432502,10.232818
Gyroscope,6998310756,-0.4181163,-0.32410672,-0.603206
Accelerometer,6998310779,1.9249382,-3.9073372,10.103531
Accelerometer,6998310783,2.078167,-3.6463692,9.785102
Accelerometer,6998310793,2.183512,-3.3997664,9.248801
Accelerometer,6998310800,2.147599,-3.4835634,8.9519205
Accelerometer,6998310804,2.0614076,-3.5649664,8.9279785
Accelerometer,6998310808,2.1021092,-3.3782187,8.853758
