Sensor,Timestamp,X,Y,Z
Accelerometer,7004096779,1.0654198,-1.4101849,9.598354
Accelerometer,7004096804,1.0462662,-1.436521,9.624691
Gyroscope,7004096829,-0.18322548,0.05352954,-0.09933591
Accelerometer,7004096831,0.9935937,-1.4149733,9.634268
Accelerometer,7004096838,0.9744401,-1.4053963,9.622296
Accelerometer,7004096860,1.0151415,-1.3000516,9.574412
Accelerometer,7004096861,1.0366893,-1.2282255,9.509769
Accelerometer,7004096863,1.0821792,-1.2545617,9.476251
Accelerometer,7004096865,1.0773908,-1.2425907,9.55047
Gyroscope,7004096900,-0.11265171,0.037284255,-0.2330266
Accelerometer,7004096909,1.1683705,-1.2354081,9.555259
Accelerometer,7004096911,1.271321,-1.2761095,9.459491
Accelerometer,7004096944,1.3215994,-1.2378023,9.3182335
Accelerometer,7004096949,1.3335704,-1.163582,9.212888
Accelerometer,7004096950,1.2641385,-1.2330139,9.105149
Accelerometer,7004096952,1.2042835,-1.3335704,9.11712
Gyroscope,7004096957,-0.2862898,0.109988555,-0.38615838
Accelerometer,7004096962,1.1611878,-1.412579,9.294291
Accelerometer,7004096968,1.151611,-1.42455,9.423578
Accelerometer,7004096969,1.1947067,-1.3144168,9.469068
Accelerometer,7004096976,1.1611878,-1.292869,9.478644
Accelerometer,7004096978,1.0223241,-1.1683705,9.44752
Accelerometer,7004096988,0.9840169,-1.1540052,9.483433
Gyroscope,7004096990,-0.27031085,0.043409526,-0.4498079
Accelerometer,7004096992,0.90740246,-1.1707647,9.500193
Accelerometer,7004096993,0.8379706,-1.2330139,9.476251
Accelerometer,7004096996,0.80684596,-1.3479356,9.385271
Accelerometer,7004097005,0.78529817,-1.5586253,9.3733
Accelerometer,7004097008,0.78769237,-1.8171991,9.509769
Accelerometer,7004097010,0.830788,-1.8698715,9.512163
Gyroscope,7004097012,-0.376571,-0.1073254,-0.4926848
Accelerometer,7004097030,0.878672,-1.9201498,9.76116
Accelerometer,7004097032,0.8595184,-1.6831238,9.524135
Accelerometer,7004097033,0.89064306,-1.3479356,9.689334
Accelerometer,7004097036,0.9720459,-1.4197617,9.991004
Accelerometer,7004097038,0.94570965,-1.532289,10.079589
Accelerometer,7004097039,0.81881696,-1.7429788,10.204087
Gyroscope,7004097041,-0.39148468,-0.11584751,-0.5291701
Accelerometer,7004097042,0.7422025,-1.8962077,10.278308
Accelerometer,7004097043,0.81402856,-1.9393034,10.208876
Accelerometer,7004097045,0.82360536,-2.0494366,10.156203
Accelerometer,7004097048,0.7637503,-2.1523874,9.976639
Accelerometer,7004097049,0.770933,-2.1164744,9.900024
Accelerometer,7004097051,0.8571242,-2.0398598,9.911995
Gyroscope,7004097052,-0.35313517,-0.1454086,-0.48283112
Accelerometer,7004097082,0.866701,-1.9776106,9.933543
Accelerometer,7004097088,0.93134445,-1.8866309,9.921572
Accelerometer,7004097093,0.91458505,-1.9632454,10.031705
Accelerometer,7004097099,0.89782566,-2.1763294,10.079589
Accelerometer,7004097105,0.90261406,-2.3319526,10.16578
Accelerometer,7004097108,0.92176765,-2.3870192,10.065224
Gyroscope,7004097122,-0.2977414,-0.11717909,-0.41625208
Accelerometer,7004097124,0.9576807,-2.3439236,10.031705
Accelerometer,7004097127,0.9720459,-2.2960393,9.888053
Accelerometer,7004097131,1.0199299,-2.219425,9.809045
Accelerometer,7004097136,1.1324574,-2.195483,9.660604
Accelerometer,7004097148,1.1971009,-2.2816741,9.624691
Accelerometer,7004097150,1.2210429,-2.3630772,9.65821
Gyroscope,7004097151,-0.27031085,-0.07563378,-0.39254996
Accelerometer,7004097153,1.2330139,-2.3343468,9.674969
Accelerometer,7004097156,1.2689269,-2.3463178,9.662998
Accelerometer,7004097157,1.2808979,-2.44448,9.737218
Accelerometer,7004097163,1.2761095,-2.516306,9.749189
Accelerometer,7004097164,1.3192052,-2.5187001,9.768343
Accelerometer,7004097172,1.3263878,-2.4588451,9.749189
Gyroscope,7004097174,-0.23169503,0.036218993,-0.39840892
Accelerometer,7004097176,1.3096284,-2.3798366,9.662998
Accelerometer,7004097341,1.3215994,-2.2385786,9.607931
Accelerometer,7004097349,1.3718776,-2.1547816,9.507375
Accelerometer,7004097371,1.388637,-2.1380222,9.49301
Accelerometer,7004097386,1.3838485,-2.1380222,9.49301
Accelerometer,7004097401,1.2880806,-2.2481554,9.727641
Gyroscope,7004097406,-0.33262882,0.17656758,-0.48735848
Accelerometer,7004097420,1.3072342,-2.432509,9.880871
Accelerometer,7004097435,1.3694834,-2.7126305,10.010158
Accelerometer,7004097440,1.42455,-2.918532,10.048465
Accelerometer,7004097455,1.42455,-2.9783869,9.947908
Accelerometer,7004097469,1.3215994,-2.932897,9.76116
Accelerometer,7004097477,1.1444284,-2.7605145,9.627085
Gyroscope,7004097482,-0.24927188,0.39814258,-0.43809
Accelerometer,7004097486,1.0127473,-2.681506,9.583989
Accelerometer,7004097491,0.9959879,-2.7269957,9.67018
Accelerometer,7004097496,1.0606314,-2.8299465,9.701305
Accelerometer,7004097499,1.1204864,-2.932897,9.677363
Accelerometer,7004097503,1.0582372,-3.0214825,9.572019
Accelerometer,7004097508,1.0103531,-3.083732,9.464279
Gyroscope,7004097513,-0.2548645,0.3358246,-0.30972564
Accelerometer,7004097517,0.91219085,-2.9999347,9.387665
Accelerometer,7004097520,0.85473,-2.9855695,9.416395
Accelerometer,7004097526,0.78769237,-3.2872388,9.346964
Accelerometer,7004097529,0.7661445,-3.4045548,9.449914
Accelerometer,7004097534,0.85473,-3.2704794,9.519346
Accelerometer,7004097537,0.92895025,-3.1890767,9.464279
Gyroscope,7004097540,-0.0018642128,0.14247912,-0.20719394
Accelerometer,7004097583,0.89303726,-3.110068,9.387665
Accelerometer,7004097589,0.8643068,-2.9951463,9.387665
Accelerometer,7004097602,0.8714894,-2.8802247,9.390059
Accelerometer,7004097613,0.9648633,-2.8107927,9.3421755
Accelerometer,7004097617,1.0606314,-2.7988217,9.251195
Accelerometer,7004097620,1.151611,-2.8419175,9.148245
Gyroscope,7004097630,-0.27643612,-7.9894834E-4,-0.19574234
Accelerometer,7004097635,1.1803415,-3.0358477,9.155427
Accelerometer,7004097640,1.1420342,-3.3399115,9.31105
Accelerometer,7004097645,1.1085154,-3.5170822,9.445126
Accelerometer,7004097649,1.0319009,-3.6008794,9.461885
Accelerometer,7004097654,0.9864111,-3.5936968,9.509769
Accelerometer,7004097658,0.93134445,-3.4811692,9.56723
Gyroscope,7004097665,-0.2548645,0.017576864,-0.103863284
Accelerometer,7004097669,0.9552865,-3.3423057,9.528923
Accelerometer,7004097673,1.0199299,-3.289633,9.433155
Accelerometer,7004097677,1.0534488,-3.229778,9.3661175
Accelerometer,7004097681,1.0390835,-3.13401,9.212888
Accelerometer,7004097685,1.0462662,-3.0310593,9.074024
Accelerometer,7004097698,1.0654198,-3.052607,9.0429
Gyroscope,7004097719,-0.20186761,0.029028457,-0.11984225
Accelerometer,7004097735,0.9648633,-3.2034419,9.157822
Accelerometer,7004097741,0.94570965,-3.2944214,9.25359
Accelerometer,7004097746,0.9911995,-3.4165258,9.267955
Accelerometer,7004097749,1.127669,-3.4117374,9.222465
Accelerometer,7004097754,1.2306197,-3.277662,9.220071
Accelerometer,7004097758,1.2306197,-3.157952,9.174581
Gyroscope,7004097762,-0.08149273,0.07456851,-0.08841695
Accelerometer,7004097766,1.2617443,-3.1052797,9.112331
Accelerometer,7004097770,1.2401965,-3.0789435,9.109938
Accelerometer,7004097774,1.2689269,-3.0573955,9.085996
Accelerometer,7004097778,1.2785037,-3.0119057,9.0476885
Accelerometer,7004097783,1.2641385,-3.0214825,9.006987
