Sensor,Timestamp,X,Y,Z
Accelerometer,2962959034,-0.58418524,-2.4708161,8.408437
Accelerometer,2962959036,-0.58418524,-2.4708161,8.408437
Accelerometer,2962959039,-0.58418524,-2.4708161,8.408437
Accelerometer,2962959041,-0.58418524,-2.4708161,8.408437
Accelerometer,2962959042,-0.58418524,-2.4708161,8.408437
Accelerometer,2962959044,-0.4165911,-2.2457612,8.046912
Gyroscope,2962959045,-0.5451491,0.3800331,-0.664725
Accelerometer,2962959047,-0.34476504,-2.111686,7.6973586
Accelerometer,2962959050,-0.272939,-1.9321208,7.4746976
Accelerometer,2962959051,-0.33279404,-2.0374656,7.5824366
Accelerometer,2962959053,-0.7182605,-2.5474305,7.9248075
Accelerometer,2962959054,-1.3359646,-3.3686419,8.23366
Accelerometer,2962959150,-2.1188686,-4.5537715,8.449138
Gyroscope,2962959156,-1.5725967,1.0767161,-1.0026802
Accelerometer,2962959161,-2.2098482,-4.8362875,8.50181
Accelerometer,2962959165,-2.2122424,-5.1259856,8.413225
Accelerometer,2962959170,-2.0350714,-4.927267,7.9511437
Accelerometer,2962959178,-1.6591818,-4.3167458,7.321469
Accelerometer,2962959182,-1.2066777,-3.5290532,6.50744
Accelerometer,2962959185,-0.78290397,-2.4971523,5.403713
Gyroscope,2962959190,-0.72943985,0.8578042,-1.1025487
Accelerometer,2962959194,-0.81402856,-2.2170308,5.185841
Accelerometer,2962959198,-1.0534488,-1.9393034,4.924873
Accelerometer,2962959202,-1.2521675,-2.1045034,5.2169657
Accelerometer,2962959205,-1.4293385,-3.1387985,5.33907
Accelerometer,2962959209,-1.3958195,-4.546589,5.461174
Accelerometer,2962959212,-1.3144168,-6.1243677,5.8705826
Gyroscope,2962959216,-2.6197517,1.2503542,-1.325189
Accelerometer,2962959220,-1.3000516,-6.4499793,5.8705826
Accelerometer,2962959223,-1.364695,-6.622362,5.722142
Accelerometer,2962959231,-1.4437037,-6.279991,5.2121773
Accelerometer,2962959234,-1.4556746,-5.4563856,4.855441
Accelerometer,2962959239,-1.2306197,-4.405331,4.1156325
Accelerometer,2962959243,-0.61052144,-3.1052797,3.715801
Gyroscope,2962959246,-1.489506,0.7251788,-1.5712651
Accelerometer,2962959250,-0.44771573,-2.870648,3.596091
Accelerometer,2962959271,-0.093373865,-2.7150247,3.323152
Accelerometer,2962959275,0.22026655,-3.0693667,3.122039
Accelerometer,2962959291,0.30406362,-3.8546648,3.181894
Accelerometer,2962959295,0.17717093,-4.960786,3.430891
Accelerometer,2962959304,-0.29927522,-6.5002575,3.7062242
Gyroscope,2962959309,-3.8602521,1.4037522,-2.2346585
Accelerometer,2962959312,-0.521936,-6.8186865,3.7134068
Accelerometer,2962959377,-0.8379706,-7.1466923,3.8714242
Accelerometer,2962959401,-0.830788,-7.2568254,3.7948096
Accelerometer,2962959411,-0.62009823,-7.156269,3.371036
Accelerometer,2962959415,-0.22026655,-6.9240313,3.1651347
Accelerometer,2962959428,0.39983168,-6.567295,2.4779987
Gyroscope,2962959432,-2.8631644,1.257012,-2.5142903
Accelerometer,2962959441,0.5602432,-6.4667387,2.3247697
