Sensor,Timestamp,X,Y,Z
Accelerometer,7003403333,-0.58657944,1.9871874,8.51857
Accelerometer,7003403342,-0.60812724,1.7429788,8.89446
Accelerometer,7003403354,-1.2306197,1.5586253,9.526528
Accelerometer,7003403369,-1.2306197,1.5586253,9.526528
Accelerometer,7003403371,-1.2306197,1.5586253,9.526528
Accelerometer,7003403377,-1.2306197,1.5586253,9.526528
Accelerometer,7003403413,-1.2354081,1.6352397,9.651027
Gyroscope,7003403421,-0.23835292,-0.013315806,0.082558
Accelerometer,7003403423,-1.2018893,1.7190368,9.730036
Accelerometer,7003403425,-0.9864111,1.9656396,9.749189
Accelerometer,7003403442,-0.7374141,2.2122424,9.574412
Accelerometer,7003403444,-0.59855044,2.3223755,9.504981
Accelerometer,7003403457,-0.5434838,2.2888567,9.552865
Accelerometer,7003403460,-0.62967503,2.066196,9.753978
Gyroscope,7003403463,-0.716923,-0.1898834,0.19121496
Accelerometer,7003403473,-0.80924016,1.7980455,10.005369
Accelerometer,7003403478,-1.0175357,1.4915876,10.146626
Accelerometer,7003403481,-1.1659763,1.1731589,10.132261
Accelerometer,7003403496,-1.1923125,0.9816227,10.115502
Accelerometer,7003403499,-1.0486604,0.9959879,10.108319
Accelerometer,7003403512,-0.7637503,1.0749966,10.077195
Gyroscope,7003403516,-0.6287723,-0.3371562,0.15845808
Accelerometer,7003403523,-0.5674258,1.0534488,10.010158
Accelerometer,7003403542,-0.47644615,1.2042835,10.09156
Accelerometer,7003403545,-0.521936,1.316811,10.146626
Accelerometer,7003403549,-0.58657944,1.4030021,10.240001
Accelerometer,7003403563,-0.641646,1.412579,10.172963
Accelerometer,7003403577,-0.61770403,1.3982137,10.125079
Gyroscope,7003403590,-0.7241135,-0.32810146,0.010652645
Accelerometer,7003403598,-0.46208093,1.2737153,10.108319
Accelerometer,7003403609,-0.18914193,1.1204864,10.168175
Accelerometer,7003403612,0.007182605,0.94331545,10.184934
Accelerometer,7003403615,0.15083471,0.80684596,10.180145
Accelerometer,7003403627,0.16280572,0.58897364,10.261548
Accelerometer,7003403629,0.21068975,0.24420857,10.309433
Gyroscope,7003403630,-0.62531024,-0.34168357,-0.28549087
Accelerometer,7003403632,0.24181437,0.011971008,10.412383
Accelerometer,7003403646,0.25857377,0.038307227,10.548853
Accelerometer,7003403648,0.2801216,0.21068975,10.670957
Accelerometer,7003403660,0.25378537,0.29688102,10.589554
Accelerometer,7003403662,0.1364695,0.32561144,10.575189
Accelerometer,7003403663,0.07182605,0.260968,10.508151
Gyroscope,7003403671,-0.43995422,-0.2977414,-0.2724414
Accelerometer,7003403673,0.08619126,0.22505496,10.575189
Accelerometer,7003403675,0.08379706,0.11731588,10.575189
Accelerometer,7003403677,0.038307227,-0.023942016,10.512939
Accelerometer,7003403679,-0.050278235,-0.1316811,10.5704
Accelerometer,7003403696,-0.08379706,-0.17238252,10.613496
Accelerometer,7003403699,0.04309563,-0.37588966,10.680533
Gyroscope,7003403702,-0.33662358,-0.29827404,-0.2548645
Accelerometer,7003403708,0.11492168,-0.51954174,10.819398
Accelerometer,7003403717,0.095768064,-0.5650316,10.867282
Accelerometer,7003403718,0.11731588,-0.5243302,10.891224
Accelerometer,7003403727,0.23942018,-0.40462008,10.773908
Accelerometer,7003403729,0.35673606,-0.16280572,10.608707
Accelerometer,7003403731,0.45729253,0.038307227,10.472239
Gyroscope,7003403736,0.14674018,-0.3422162,-0.32996565
Accelerometer,7003403740,0.5554548,0.17717093,10.287885
Accelerometer,7003403742,0.7015011,0.23942018,10.187328
Accelerometer,7003403743,0.7613561,0.23942018,10.268731
Accelerometer,7003403748,0.7086837,0.1436521,10.271125
Accelerometer,7003403749,0.6631939,0.01436521,10.247183
Accelerometer,7003403751,0.6607997,-0.10055647,10.2735195
Gyroscope,7003403754,-0.25300032,-0.14993598,-0.41625208
Accelerometer,7003403758,0.6488287,-0.2753332,10.43872
Accelerometer,7003403760,0.5243302,-0.49559975,10.603919
Accelerometer,7003403762,0.45968673,-0.5363012,10.737994
Accelerometer,7003403763,0.545878,-0.50757074,10.682928
Accelerometer,7003403766,0.61291564,-0.35434186,10.66138
Accelerometer,7003403767,0.6799533,-0.24181437,10.522516
Gyroscope,7003403795,-0.057257965,-0.1206412,-0.36884782
Accelerometer,7003403807,0.6512229,-0.10295067,10.3692875
Accelerometer,7003403809,0.6440403,-0.06464344,10.338163
Accelerometer,7003403812,0.49799395,-0.06464344,10.352529
Accelerometer,7003403825,0.37588966,-0.0047884034,10.357317
Accelerometer,7003403827,0.4309563,-0.016759412,10.376471
Accelerometer,7003403830,0.48362875,-0.18195933,10.448297
Gyroscope,7003403842,-0.15472966,0.036485307,-0.262854
Accelerometer,7003403845,0.48123455,-0.33997664,10.527305
Accelerometer,7003403847,0.533907,-0.51954174,10.603919
Accelerometer,7003403859,0.60094464,-0.5386954,10.529699
Accelerometer,7003403860,0.6871359,-0.4309563,10.431537
Accelerometer,7003403862,0.7134721,-0.25139117,10.409989
Accelerometer,7003403874,0.6895301,-0.16280572,10.326192
Gyroscope,7003403876,0.107858025,0.09454222,-0.257794
Accelerometer,7003403879,0.7661445,-0.110133275,10.271125
Accelerometer,7003403891,0.8714894,-0.1412579,10.225636
Accelerometer,7003403894,0.93373865,-0.19153613,10.225636
Accelerometer,7003403897,0.9744401,-0.18914193,10.225636
Accelerometer,7003403908,0.9624691,-0.16519992,10.228029
Accelerometer,7003403910,0.9672575,-0.05746084,10.170568
Gyroscope,7003403911,0.0039947415,0.17470337,-0.25992453
Accelerometer,7003403922,0.9600749,0.031124622,10.108319
Accelerometer,7003403925,0.90261406,0.033518825,10.115502
Accelerometer,7003403927,0.8355764,-0.08619126,10.125079
Accelerometer,7003403928,0.80445176,-0.12689269,10.208876
Accelerometer,7003403940,0.79487497,-0.16998832,10.2974615
Accelerometer,7003403942,0.7637503,-0.21308395,10.25676
Gyroscope,7003403956,0.002130529,0.11930962,-0.20905815
Accelerometer,7003403961,0.7158663,-0.12210429,10.223241
Accelerometer,7003403974,0.79726917,0.0023942017,10.149021
Accelerometer,7003403976,0.8571242,0.08140286,9.993398
Accelerometer,7003403978,0.8355764,0.1364695,9.849746
Accelerometer,7003403985,0.81881696,0.23223756,9.859323
Accelerometer,7003404058,0.8738836,0.24660277,9.753978
Gyroscope,7003404065,0.10918961,0.070307456,-0.20080236
Accelerometer,7003404069,0.92176765,0.24899697,9.739613
Accelerometer,7003404073,0.90979666,0.2657564,9.739613
Accelerometer,7003404077,0.866701,0.35673606,9.7084875
Accelerometer,7003404080,0.7757214,0.4189853,9.682152
Accelerometer,7003404085,0.7134721,0.5650316,9.600749
Accelerometer,7003404101,0.7278373,0.6799533,9.564836
Gyroscope,7003404110,0.018375812,0.11504856,-0.17949706
Accelerometer,7003404118,0.7086837,0.6655881,9.572019
Accelerometer,7003404124,0.63206923,0.6368576,9.533711
Accelerometer,7003404132,0.5746084,0.62488663,9.622296
Accelerometer,7003404135,0.5626374,0.5770026,9.627085
Accelerometer,7003404138,0.533907,0.5410896,9.65821
Accelerometer,7003404141,0.5243302,0.641646,9.655815
Gyroscope,7003404146,-0.068176925,0.0727043,-0.113983296
Accelerometer,7003404149,0.5243302,0.7134721,9.667787
Accelerometer,7003404153,0.51714754,0.7398083,9.634268
Accelerometer,7003404156,0.50278234,0.8690952,9.7563715
Accelerometer,7003404159,0.61770403,0.92895025,9.89763
Accelerometer,7003404166,0.7374141,0.91937345,9.991004
Accelerometer,7003404240,0.80445176,0.8403648,9.988609
Gyroscope,7003404266,-0.012516857,-0.029028457,-0.058056913
Accelerometer,7003404273,0.78050977,0.8283938,9.842564
Accelerometer,7003404283,0.7613561,0.7781156,9.605537
Accelerometer,7003404286,0.7565677,0.80924016,9.622296
Accelerometer,7003404300,0.8738836,1.0319009,9.490616
Accelerometer,7003404305,0.8762778,1.2425907,9.351752
Accelerometer,7003404308,0.81642276,1.2689269,9.3661175
Gyroscope,7003404320,0.123836994,-0.108124346,0.008255799
Accelerometer,7003404324,0.6895301,1.2258313,9.598354
Accelerometer,7003404333,0.60812724,1.1180922,10.081984
Accelerometer,7003404337,0.5602432,0.9816227,10.304645
Accelerometer,7003404340,0.4429273,0.62009823,10.259154
Accelerometer,7003404349,0.3878607,0.32800564,10.340557
Accelerometer,7003404354,0.37588966,0.37828386,10.31901
Gyroscope,7003404357,-0.10066749,0.0029294773,0.047404267
Accelerometer,7003404366,0.37349546,0.5793968,9.995792
Accelerometer,7003404370,0.35673606,0.6631939,9.734824
Accelerometer,7003404374,0.35673606,0.6751649,9.751583
Accelerometer,7003404382,0.46926352,0.6751649,9.883265
Accelerometer,7003404385,0.6488287,0.60573304,9.986216
Accelerometer,7003404388,0.8475474,0.40222588,10.0987425
Gyroscope,7003404397,-0.03914847,-0.0013315806,-0.022903185
Accelerometer,7003404402,0.9504981,0.15562311,10.163386
Accelerometer,7003404406,0.8738836,-0.12449849,10.225636
Accelerometer,7003404415,0.7589619,-0.33518824,10.352529
Accelerometer,7003404418,0.7182605,-0.533907,10.388441
Accelerometer,7003404423,0.6943185,-0.62967503,10.309433
Accelerometer,7003404466,0.6799533,-0.62967503,10.204087
Gyroscope,7003404473,-0.046871636,0.07829694,0.11265171
Accelerometer,7003404478,0.60094464,-0.47644615,10.103531
Accelerometer,7003404483,0.59376204,-0.22026655,10.0508585
Accelerometer,7003404487,0.7062895,-0.031124622,9.919178
Accelerometer,7003404491,0.8403648,0.019153614,9.844957
Accelerometer,7003404494,0.93613285,-0.062249243,9.873688
Accelerometer,7003404497,1.0103531,-0.062249243,9.821015
Gyroscope,7003404503,-0.12250541,0.0061252704,0.17283916
Accelerometer,7003404506,1.0342951,-0.062249243,9.682152
Accelerometer,7003404519,1.0606314,-0.093373865,9.461885
Accelerometer,7003404529,1.0414777,-0.16280572,9.363723
Accelerometer,7003404537,1.0007763,-0.16759412,9.476251
Accelerometer,7003404544,1.0390835,-0.15562311,9.461885
Accelerometer,7003404550,1.091756,-0.007182605,9.346964
Gyroscope,7003404553,-0.27883297,-0.011451593,0.13528858
Accelerometer,7003404556,1.163582,0.08619126,9.296685
Accelerometer,7003404559,1.1180922,-0.05746084,9.244013
Accelerometer,7003404563,0.9720459,-0.21068975,9.255983
Accelerometer,7003404575,0.8619126,-0.20111294,9.41879
Accelerometer,7003404584,0.7757214,-0.07182605,9.334992
Accelerometer,7003404593,0.7110779,0.055066638,9.179369
Gyroscope,7003404603,-0.30599722,0.043942157,-0.037284255
Accelerometer,7003404608,0.6536171,0.02873042,9.169792
Accelerometer,7003404618,0.581791,0.033518825,9.196129
Accelerometer,7003404625,0.51714754,0.045489833,9.344569
Accelerometer,7003404653,0.48841715,-0.05746084,9.500193
Accelerometer,7003404663,0.48362875,-0.24660277,9.615114
Accelerometer,7003404671,0.49559975,-0.50996494,9.749189
Gyroscope,7003404689,-0.4857606,-0.00958738,-0.08894958
Accelerometer,7003404693,0.5410896,-0.770933,9.916783
Accelerometer,7003404696,0.641646,-0.9744401,10.0029745
Accelerometer,7003404700,0.6871359,-1.0941502,10.160992
Accelerometer,7003404703,0.7589619,-1.1779473,10.371682
Accelerometer,7003404707,0.81163436,-1.2880806,10.240001
Accelerometer,7003404711,0.7182605,-1.5586253,10.216059
Gyroscope,7003404715,-0.56618804,0.03888215,-0.059388492
Accelerometer,7003404729,0.5722142,-1.946486,10.307038
Accelerometer,7003404745,0.41180268,-2.2960393,10.25676
Accelerometer,7003404750,0.272939,-2.4516625,10.163386
Accelerometer,7003404753,0.18435353,-2.4253263,10.151415
Accelerometer,7003404765,0.23223756,-2.1332338,10.223241
Accelerometer,7003404770,0.2657564,-1.8698715,10.151415
Gyroscope,7003404778,-0.014913702,-0.07243799,0.046871636
Accelerometer,7003404782,0.19393034,-1.6448165,10.19451
Accelerometer,7003404793,0.2705448,-1.5442601,10.201694
Accelerometer,7003404800,0.39504328,-1.8148049,10.199299
Accelerometer,7003404819,0.16998832,-2.1092918,10.314221
Accelerometer,7003404842,-0.035913024,-2.2146366,10.69011
Accelerometer,7003404846,-0.1604115,-2.0015526,10.723629
Gyroscope,7003404861,0.2016013,-0.12676647,-0.06258429
Accelerometer,7003404871,-0.260968,-1.6112977,10.5704
Accelerometer,7003404881,-0.23942018,-1.151611,10.28549
Accelerometer,7003404891,-0.11492168,-0.80205756,10.065224
Accelerometer,7003404904,0.035913024,-0.6799533,9.97185
Accelerometer,7003404910,0.16998832,-0.5674258,10.089166
Accelerometer,7003404921,0.31603462,-0.7398083,10.093954
Gyroscope,7003404941,0.0644485,-0.15526229,-0.13954964
Accelerometer,7003404944,0.38307226,-1.0893618,10.232818
Accelerometer,7003404948,0.5315128,-1.4077905,10.455479
Accelerometer,7003404952,0.6895301,-1.508347,10.472239
Accelerometer,7003404955,0.89064306,-1.2665327,10.180145
Accelerometer,7003404971,1.0654198,-0.7637503,9.643845
Accelerometer,7003404980,1.1324574,-0.2753332,9.081207
Gyroscope,7003404985,0.018908445,0.060453758,-0.43755737
Accelerometer,7003404990,1.1444284,-0.090979666,8.760384
Accelerometer,7003404993,1.1899183,-0.29209262,8.700529
Accelerometer,7003404997,1.3096284,-0.59376204,8.719683
Accelerometer,7003405001,1.4676456,-0.9720459,8.74123
Accelerometer,7003405004,1.436521,-1.2066777,8.836999
Accelerometer,7003405009,1.1803415,-1.6256629,8.664616
Gyroscope,7003405013,-1.1323761,0.43995422,-0.7736483
Accelerometer,7003405022,1.1324574,-1.7166426,8.647857
Accelerometer,7003405034,1.127669,-1.8004397,8.528147
Accelerometer,7003405045,1.30484,-1.6807296,8.207323
Accelerometer,7003405050,1.5131354,-1.3814543,7.704541
Accelerometer,7003405061,1.6591818,-0.94092125,7.029376
Accelerometer,7003405068,1.5179238,-0.29688102,6.6893997
Gyroscope,7003405075,-1.4596786,0.49295112,-1.0687265
Accelerometer,7003405080,1.3958195,-0.2681506,6.6175733
Accelerometer,7003405090,1.0295067,-0.8379706,6.8330517
Accelerometer,7003405107,0.5243302,-2.1691468,7.5465236
Accelerometer,7003405112,-0.059855044,-3.5075054,8.880095
Accelerometer,7003405119,-0.59376204,-4.462792,10.275913
Accelerometer,7003405131,-0.9504981,-4.7500963,11.106702
Gyroscope,7003405141,-0.9733854,0.165116,-0.99735385
Accelerometer,7003405144,-0.94810385,-4.474763,11.027693
