Sensor,Timestamp,X,Y,Z
Accelerometer,2969269288,2.0494366,-3.157952,9.543288
Accelerometer,2969269298,2.0494366,-3.157952,9.543288
Accelerometer,2969269306,2.0494366,-3.157952,9.543288
Accelerometer,2969269309,2.0494366,-3.157952,9.543288
Accelerometer,2969269310,1.8267759,-2.5067291,9.330204
Accelerometer,2969269312,1.8267759,-2.5067291,9.330204
Accelerometer,2969269319,1.8267759,-2.5067291,9.330204
Accelerometer,2969269322,1.8267759,-2.5067291,9.330204
Accelerometer,2969269327,1.8267759,-2.5067291,9.330204
Gyroscope,2969269339,0.13022858,0.008788432,0.079095885
Accelerometer,2969269341,1.8650831,-2.3056161,9.287108
Accelerometer,2969269342,1.910573,-2.315193,9.28232
Accelerometer,2969269344,2.078167,-2.4396915,9.370906
Accelerometer,2969269347,2.1452048,-2.5139117,9.514558
Accelerometer,2969269348,2.2170308,-2.4756045,9.552865
Accelerometer,2969269359,2.2697031,-2.468422,9.459491
Gyroscope,2969269360,0.002396845,-0.112918034,0.018375812
Accelerometer,2969269362,2.2864625,-2.4301147,9.433155
Accelerometer,2969269363,2.2840683,-2.5330653,9.346964
Accelerometer,2969269378,2.2768857,-2.741361,9.390059
Accelerometer,2969269380,2.2697031,-2.9975405,9.579201
Accelerometer,2969269382,2.2649148,-3.1962593,9.8042555
Accelerometer,2969269383,2.3439236,-3.1507695,9.864111
Gyroscope,2969269386,-0.029827405,-0.16990969,-0.02263687
Accelerometer,2969269388,2.5498247,-3.0669725,9.909601
Accelerometer,2969269389,2.7700913,-2.942474,9.883265
Accelerometer,2969269391,2.7605145,-2.80361,9.725247
Accelerometer,2969269395,2.779668,-2.7269957,9.646238
Accelerometer,2969269418,2.8538885,-2.7150247,9.536105
Accelerometer,2969269421,2.8419175,-2.8898015,9.385271
Gyroscope,2969269427,-0.06737798,-0.06711166,-0.06178534
Accelerometer,2969269433,2.6791117,-2.9735985,9.332599
Accelerometer,2969269439,2.468422,-2.9041667,9.397242
Accelerometer,2969269445,2.6431987,-2.9520507,9.390059
Accelerometer,2969269447,2.9759927,-2.942474,9.674969
Accelerometer,2969269448,2.8874073,-3.0669725,9.718064
Accelerometer,2969269450,2.7341783,-3.110068,9.648633
Gyroscope,2969269451,-0.04926848,0.02876214,-0.08522116
Accelerometer,2969269467,2.7988217,-3.064578,9.607931
Accelerometer,2969269469,2.4851813,-2.9472623,9.459491
Accelerometer,2969269470,2.267309,-2.9041667,9.337387
Accelerometer,2969269477,2.4492683,-2.8754363,9.222465
Accelerometer,2969269595,2.4995465,-2.777274,9.157822
Accelerometer,2969269600,2.3774424,-2.7269957,9.13388
Gyroscope,2969269607,-0.09640643,0.13129385,-0.18375812
Accelerometer,2969269611,2.2457612,-2.7581203,9.263166
Accelerometer,2969269614,2.1643584,-2.822764,9.414001
Accelerometer,2969269618,2.1428106,-2.9855695,9.478644
Accelerometer,2969269622,2.1380222,-3.110068,9.500193
Accelerometer,2969269626,2.078167,-3.1794999,9.440337
Accelerometer,2969269629,2.0350714,-3.1747115,9.344569
Gyroscope,2969269633,-0.057257965,0.16751283,-0.22343922
Accelerometer,2969269637,2.0614076,-3.0597897,9.0429
Accelerometer,2969269641,2.0518308,-2.906561,8.822633
Accelerometer,2969269645,1.9895816,-2.873042,8.841787
Accelerometer,2969269648,2.0254946,-2.9233203,9.0429
Accelerometer,2969269651,2.1260512,-3.040636,9.330204
Accelerometer,2969269656,2.1811178,-3.122039,9.572019
Gyroscope,2969269659,-0.19707392,0.15978967,-0.21252026
Accelerometer,2969269664,2.1188686,-3.169923,9.674969
Accelerometer,2969269670,1.9847932,-3.1004913,9.6845455
Accelerometer,2969269674,1.8291701,-3.071761,9.677363
Accelerometer,2969269678,1.8100165,-3.071761,9.579201
Accelerometer,2969269682,1.8004397,-3.0573955,9.497798
Accelerometer,2969269686,1.8315643,-3.040636,9.387665
Gyroscope,2969269689,-0.032756884,0.16085494,-0.1717739
Accelerometer,2969269692,1.8531121,-2.9640217,9.303867
Accelerometer,2969269698,1.769315,-2.9831753,9.232041
Accelerometer,2969269764,1.7621324,-3.086126,9.330204
Accelerometer,2969269791,1.7908629,-3.1028855,9.466674
Accelerometer,2969269797,1.9033904,-3.098097,9.471462
Accelerometer,2969269800,1.9273324,-2.9640217,9.380483
Gyroscope,2969269809,-0.006657903,0.1257012,-0.1454086
Accelerometer,2969269813,1.8914193,-2.8395233,9.258378
Accelerometer,2969269817,1.7764976,-2.80361,9.121908
Accelerometer,2969269826,1.7501614,-2.777274,9.057265
Accelerometer,2969269830,1.7549498,-2.755726,8.961497
Accelerometer,2969269843,1.8986019,-2.731784,9.004593
Accelerometer,2969269847,2.1164744,-2.7030537,9.229648
Gyroscope,2969269852,0.2796319,-0.018908445,-0.26365295
Accelerometer,2969269864,2.27928,-2.7700913,9.26556
Accelerometer,2969269868,2.0254946,-3.0693667,9.105149
Accelerometer,2969269876,1.5897499,-3.3423057,8.89446
Accelerometer,2969269880,1.4460979,-3.6008794,9.095572
Accelerometer,2969269885,1.5825673,-3.5984852,9.394848
Accelerometer,2969269892,1.8555063,-3.4117374,9.607931
Gyroscope,2969269897,-0.007456851,0.02130529,-0.14647387
Accelerometer,2969269900,2.0518308,-3.2632968,9.746795
Accelerometer,2969269909,2.0853498,-3.241749,9.706094
Accelerometer,2969269912,2.087744,-3.3734303,9.572019
Accelerometer,2969269916,1.9895816,-3.596091,9.478644
Accelerometer,2969269924,1.8555063,-3.5984852,9.490616
Accelerometer,2969269943,1.8028339,-3.359065,9.507375
Gyroscope,2969269963,-0.04527374,0.06684534,-0.16058862
Accelerometer,2969269975,1.7788919,-3.0765493,9.452309
Accelerometer,2969269979,1.7788919,-2.9712043,9.49301
Accelerometer,2969269983,1.8674773,-3.0502129,9.665392
Accelerometer,2969269987,2.0566192,-3.2513258,9.904813
Accelerometer,2969269990,2.1452048,-3.3327289,9.993398
