Sensor,Timestamp,X,Y,Z
Accelerometer,7001734847,3.2680852,-3.4763808,8.556877
Accelerometer,7001734851,3.2513258,-3.560178,8.573636
Accelerometer,7001734853,3.2513258,-3.655946,8.525752
Accelerometer,7001734864,3.2513258,-3.655946,8.525752
Accelerometer,7001734897,3.2513258,-3.655946,8.525752
Accelerometer,7001734899,3.2513258,-3.655946,8.525752
Accelerometer,7001734901,3.2513258,-3.655946,8.525752
Accelerometer,7001734902,3.25372,-3.6535518,8.544906
Gyroscope,7001734916,-0.00479369,-0.022104237,-0.043675844
Accelerometer,7001734931,3.2728736,-3.655946,8.520964
Accelerometer,7001734935,3.2752678,-3.6391866,8.50181
Accelerometer,7001734950,3.2680852,-3.620033,8.504205
Accelerometer,7001734967,3.2609026,-3.5745432,8.485051
Accelerometer,7001734979,3.265691,-3.5529952,8.418014
Accelerometer,7001734981,3.301604,-3.5338416,8.4108305
Gyroscope,7001734983,-0.042876896,-0.03781689,-0.03488741
Accelerometer,7001734984,3.3542767,-3.5817258,8.396465
Accelerometer,7001734996,3.3542767,-3.5817258,8.494628
Accelerometer,7001734998,3.3806129,-3.691859,8.520964
Accelerometer,7001735000,3.3686419,-3.7325604,8.583213
Accelerometer,7001735001,3.3662477,-3.7588966,8.576031
Accelerometer,7001735003,3.359065,-3.7565024,8.585608
Gyroscope,7001735015,-0.02130529,-0.03009372,-0.025033714
Accelerometer,7001735017,3.3734303,-3.6990416,8.525752
Accelerometer,7001735018,3.3614593,-3.6487634,8.47308
Accelerometer,7001735020,3.3494883,-3.6367924,8.50181
Accelerometer,7001735031,3.371036,-3.6487634,8.487445
Accelerometer,7001735034,3.3854012,-3.6463692,8.463503
Accelerometer,7001735036,3.3901896,-3.6104562,8.4826565
Gyroscope,7001735047,-0.036218993,-0.047404267,-0.031158986
Accelerometer,7001735049,3.4500446,-3.5984852,8.470686
Accelerometer,7001735050,3.4644098,-3.6152446,8.441956
Accelerometer,7001735052,3.4739866,-3.6391866,8.439561
Accelerometer,7001735062,3.4572272,-3.7205894,8.48984
Accelerometer,7001735064,3.5075054,-3.7972038,8.516175
Accelerometer,7001735067,3.5051112,-3.8283286,8.51857
Gyroscope,7001735068,-0.10146644,-0.054328486,-0.07057377
Accelerometer,7001735079,3.4955344,-3.763685,8.475474
Accelerometer,7001735081,3.5170822,-3.7684734,8.525752
Accelerometer,7001735082,3.5529952,-3.8187518,8.573636
Accelerometer,7001735084,3.5625722,-3.787627,8.561666
Accelerometer,7001735096,3.53863,-3.8163576,8.53054
Accelerometer,7001735098,3.454833,-3.8379054,8.568848
Gyroscope,7001735100,-0.05219796,-0.021571605,-0.02876214
Accelerometer,7001735101,3.4165258,-3.7900212,8.508993
Accelerometer,7001735103,3.4763808,-3.6966474,8.485051
Accelerometer,7001735115,3.5482068,-3.6272156,8.465898
Accelerometer,7001735116,3.5529952,-3.655946,8.537724
Accelerometer,7001735118,3.5817258,-3.6727054,8.552089
Accelerometer,7001735131,3.5458126,-3.6631286,8.611943
Gyroscope,7001735134,-0.11265171,-0.00958738,-0.04234426
Accelerometer,7001735144,3.5122938,-3.6870706,8.602366
Accelerometer,7001735183,3.5003228,-3.7014358,8.566454
Accelerometer,7001735213,3.502717,-3.7014358,8.597578
Accelerometer,7001735216,3.5075054,-3.7014358,8.561666
Accelerometer,7001735217,3.5122938,-3.6463692,8.508993
Accelerometer,7001735234,3.4404678,-3.560178,8.475474
Gyroscope,7001735245,-0.03435478,0.049534798,0.014647386
Accelerometer,7001735247,3.4021606,-3.4883518,8.461109
Accelerometer,7001735261,3.323152,-3.3997664,8.449138
Accelerometer,7001735267,3.2680852,-3.3327289,8.446744
Accelerometer,7001735277,3.289633,-3.3758245,8.475474
Accelerometer,7001735281,3.2632968,-3.4237084,8.516175
Accelerometer,7001735295,3.265691,-3.53863,8.50181
Gyroscope,7001735297,-0.08974853,0.059388492,-0.039414786
Accelerometer,7001735299,3.2609026,-3.6343982,8.542512
Accelerometer,7001735300,3.3375173,-3.6822822,8.51857
Accelerometer,7001735311,3.3638535,-3.679888,8.542512
Accelerometer,7001735314,3.3782187,-3.6056678,8.50181
Accelerometer,7001735316,3.4404678,-3.608062,8.532935
Accelerometer,7001735317,3.4955344,-3.6846764,8.552089
Gyroscope,7001735329,-0.07456851,0.035952676,-0.10466223
Accelerometer,7001735333,3.5434184,-3.7852328,8.590396
Accelerometer,7001735339,3.5769374,-3.8474822,8.688558
Accelerometer,7001735342,3.6463692,-3.892972,8.664616
Accelerometer,7001735345,3.6942532,-3.9145198,8.623915
Accelerometer,7001735348,3.7014358,-3.8666358,8.580819
Accelerometer,7001735351,3.7373488,-3.7852328,8.552089
Gyroscope,7001735354,-0.07669904,0.040480047,-0.13129385
Accelerometer,7001735356,3.691859,-3.6870706,8.420407
Accelerometer,7001735357,3.5984852,-3.6511576,8.374918
Accelerometer,7001735359,3.502717,-3.5529952,8.305486
Accelerometer,7001735438,3.394978,-3.5075054,8.291121
Accelerometer,7001735444,3.2513258,-3.6248214,8.26239
Accelerometer,7001735449,3.1986535,-3.7684734,8.322245
Gyroscope,7001735454,-0.16192019,-0.0015978967,-0.1257012
Accelerometer,7001735457,3.1675289,-3.8786068,8.374918
Accelerometer,7001735461,3.1364043,-3.9240966,8.432379
Accelerometer,7001735466,3.1771057,-3.9073372,8.437167
Accelerometer,7001735473,3.2130187,-3.8115692,8.355764
Accelerometer,7001735477,3.2848446,-3.7181952,8.267179
Accelerometer,7001735480,3.3423057,-3.679888,8.209718
Gyroscope,7001735484,0.046871636,-0.13502227,-0.105993815
Accelerometer,7001735488,3.3758245,-3.715801,8.240842
Accelerometer,7001735492,3.4093432,-3.8067808,8.288726
Accelerometer,7001735497,3.478775,-3.8977604,8.343793
Accelerometer,7001735505,3.4763808,-4.003105,8.394072
Accelerometer,7001735513,3.4931402,-4.0294414,8.425196
Accelerometer,7001735516,3.4835634,-3.9911342,8.401254
Gyroscope,7001735519,0.018109497,-0.10359697,-0.053795855
Accelerometer,7001735524,3.5170822,-3.928885,8.3390045
Accelerometer,7001735527,3.5482068,-3.881001,8.367735
Accelerometer,7001735535,3.5745432,-3.8881836,8.391677
Accelerometer,7001735608,3.6463692,-3.892972,8.403648
Accelerometer,7001735631,3.6822822,-3.8857894,8.394072
Accelerometer,7001735640,3.6966474,-3.8522706,8.365341
Gyroscope,7001735646,-0.011185277,-0.05672533,-0.06870956
Accelerometer,7001735655,3.6774938,-3.821146,8.267179
Accelerometer,7001735659,3.7110126,-3.7852328,8.259995
Accelerometer,7001735663,3.7181952,-3.7852328,8.279149
Accelerometer,7001735672,3.7373488,-3.8426938,8.271967
Accelerometer,7001735678,3.6774938,-3.8355112,8.257602
Accelerometer,7001735687,3.5793316,-3.833117,8.26239
Gyroscope,7001735705,-0.114782244,0.015446335,-0.07403588
Accelerometer,7001735726,3.5913026,-3.857059,8.334216
Accelerometer,7001735738,3.6032736,-3.9025488,8.384495
Accelerometer,7001735746,3.608062,-3.9600096,8.432379
Accelerometer,7001735756,3.6655228,-3.940856,8.506598
Accelerometer,7001735763,3.7349546,-3.9456444,8.425196
Accelerometer,7001735772,3.7229836,-3.9240966,8.403648
Gyroscope,7001735775,-0.07536746,-0.006924219,-0.07243799
Accelerometer,7001735778,3.7229836,-3.9097314,8.35337
Accelerometer,7001735786,3.7253778,-3.940856,8.3821
Accelerometer,7001735789,3.7804444,-3.916914,8.3629465
Accelerometer,7001735793,3.7708676,-3.916914,8.367735
Accelerometer,7001735796,3.751714,-3.9121256,8.372523
Accelerometer,7001735810,3.6846764,-3.9360676,8.453926
Gyroscope,7001735814,-0.086020105,0.00958738,-0.010652645
Accelerometer,7001735824,3.691859,-3.98874,8.449138
Accelerometer,7001735827,3.6727054,-3.9791632,8.475474
Accelerometer,7001735832,3.6774938,-3.916914,8.4108305
Accelerometer,7001735838,3.6703112,-3.86903,8.288726
Accelerometer,7001735843,3.6607344,-3.8115692,8.197746
Accelerometer,7001735846,3.643975,-3.7828386,8.152257
Gyroscope,7001735852,0.024234766,-0.0018642128,0.04181163
Accelerometer,7001735855,3.6415808,-3.7708676,8.200141
