Sensor,Timestamp,X,Y,Z
Accelerometer,6857370193,0.19153613,1.448492,9.725247
Accelerometer,6857370195,0.19153613,1.448492,9.725247
Accelerometer,6857370197,0.19153613,1.448492,9.725247
Accelerometer,6857370201,0.19153613,1.448492,9.725247
Accelerometer,6857370203,0.19153613,1.448492,9.725247
Accelerometer,6857370204,0.19153613,1.448492,9.725247
Accelerometer,6857370210,0.18914193,1.4221559,9.751583
Gyroscope,6857370212,-0.050333746,-0.04580637,-0.19973709
Accelerometer,6857370213,0.22266077,1.364695,9.801862
Accelerometer,6857370217,0.25139117,1.2521675,9.849746
Accelerometer,6857370220,0.2896984,1.1324574,9.907207
Accelerometer,6857370221,0.31124622,1.1109096,9.871294
Accelerometer,6857370223,0.30645782,1.163582,9.792285
Accelerometer,6857370232,0.33279404,1.3024458,9.727641
Gyroscope,6857370239,-2.663161E-4,-0.096939065,-0.30146983
Accelerometer,6857370248,0.35673606,1.3862427,9.725247
Accelerometer,6857370250,0.41180268,1.3814543,9.722853
Accelerometer,6857370252,0.51475334,1.1803415,9.765948
Accelerometer,6857370253,0.5243302,0.9552865,9.945514
Accelerometer,6857370259,0.4357447,0.7685388,10.0508585
Accelerometer,6857370267,0.33758244,0.6655881,10.103531
Gyroscope,6857370269,-0.10013486,-0.04314321,-0.376571
Accelerometer,6857370271,0.24420857,0.7685388,10.081984
Accelerometer,6857370275,0.18914193,0.9792285,9.952697
Accelerometer,6857370279,0.15322891,1.1013328,9.792285
Accelerometer,6857370280,0.09816227,1.0989386,9.813833
Accelerometer,6857370282,-0.0023942017,1.0390835,9.895236
Accelerometer,6857370372,-0.08379706,0.91458505,9.988609
Gyroscope,6857370378,-0.19254655,-0.012250541,-0.3821636
Accelerometer,6857370383,-0.1604115,0.79248077,10.115502
Accelerometer,6857370387,-0.22026655,0.6440403,10.18254
Accelerometer,6857370391,-0.29448682,0.58897364,10.16578
Accelerometer,6857370394,-0.33997664,0.61770403,10.172963
Accelerometer,6857370401,-0.36870706,0.6775591,10.09156
Accelerometer,6857370405,-0.32321724,0.7374141,10.010158
Gyroscope,6857370409,-0.07376956,-0.022903185,-0.29640985
Accelerometer,6857370413,-0.24420857,0.80205756,9.976639
Accelerometer,6857370417,-0.23223756,0.7637503,9.9790325
Accelerometer,6857370421,-0.24420857,0.6727707,10.0029745
Accelerometer,6857370428,-0.260968,0.5530606,10.055647
Accelerometer,6857370432,-0.31603462,0.51954174,10.079589
Accelerometer,6857370435,-0.33039984,0.5506664,10.093954
Gyroscope,6857370439,-0.1107875,0.032490566,-0.20053603
Accelerometer,6857370449,-0.35194764,0.59376204,10.115502
Accelerometer,6857370453,-0.38307226,0.641646,10.0748005
Accelerometer,6857370459,-0.4237737,0.6847417,10.117896
Accelerometer,6857370475,-0.37110126,0.6919243,10.139444
Accelerometer,6857370489,-0.31364042,0.7326257,10.127473
Accelerometer,6857370509,-0.22744916,0.7757214,10.06283
Gyroscope,6857370512,-0.17257284,0.036485307,-0.14647387
Accelerometer,6857370517,-0.18435353,0.78050977,10.089166
Accelerometer,6857370520,-0.1340753,0.7134721,10.101137
Accelerometer,6857370523,-0.15322891,0.6799533,10.16578
Accelerometer,6857370527,-0.21308395,0.641646,10.223241
Accelerometer,6857370530,-0.2705448,0.7062895,10.21127
Accelerometer,6857370533,-0.272939,0.830788,10.144233
Gyroscope,6857370537,-0.08362326,0.02130529,-0.0958738
Accelerometer,6857370540,-0.272939,0.93852705,10.077195
Accelerometer,6857370560,-0.22505496,0.94810385,10.019734
Accelerometer,6857370565,-0.18914193,0.90979666,10.043676
Accelerometer,6857370568,-0.22744916,0.82121116,9.976639
Accelerometer,6857370580,-0.32561144,0.770933,9.998186
Accelerometer,6857370649,-0.3878607,0.7062895,10.041282
Gyroscope,6857370671,-0.1371528,0.05486112,-0.14833808
Accelerometer,6857370680,-0.48841715,0.6679823,10.036493
Accelerometer,6857370683,-0.521936,0.6919243,10.041282
Accelerometer,6857370689,-0.47165772,0.7086837,10.0029745
Accelerometer,6857370697,-0.4309563,0.6655881,10.0029745
Accelerometer,6857370702,-0.40940848,0.60573304,10.000581
Accelerometer,6857370708,-0.39743748,0.50757074,10.0508585
Gyroscope,6857370717,-0.17656758,0.07403588,-0.18242654
Accelerometer,6857370721,-0.40462008,0.38307226,10.084377
Accelerometer,6857370725,-0.46686932,0.18195933,10.089166
Accelerometer,6857370736,-0.45729253,0.050278235,10.132261
Accelerometer,6857370740,-0.37110126,0.06943185,10.204087
Accelerometer,6857370748,-0.28491,0.12689269,10.149021
Accelerometer,6857370751,-0.2777274,0.21068975,10.031705
Gyroscope,6857370757,-0.07829694,0.099069595,-0.17736652
Accelerometer,6857370762,-0.30166942,0.2633622,10.010158
Accelerometer,6857370768,-0.32800564,0.21068975,10.036493
Accelerometer,6857370773,-0.29688102,0.011971008,10.0987425
Accelerometer,6857370779,-0.2705448,-0.15801731,10.163386
Accelerometer,6857370787,-0.2753332,-0.2801216,10.172963
Accelerometer,6857370790,-0.34715924,-0.2681506,10.144233
