Sensor,Timestamp,X,Y,Z
Accelerometer,7006717694,1.0175357,-4.024653,9.82341
Accelerometer,7006717699,1.0175357,-4.024653,9.82341
Accelerometer,7006717703,1.0175357,-4.024653,9.82341
Accelerometer,7006717706,1.0175357,-4.024653,9.82341
Accelerometer,7006717712,1.0175357,-4.024653,9.82341
Accelerometer,7006717714,1.0175357,-4.024653,9.82341
Accelerometer,7006717717,1.0175357,-4.024653,9.82341
Accelerometer,7006717723,1.532289,-3.4237084,9.308656
Accelerometer,7006717729,1.532289,-3.4237084,9.308656
Accelerometer,7006717736,1.532289,-3.4237084,9.308656
Accelerometer,7006717739,1.532289,-3.4237084,9.308656
Accelerometer,7006717740,1.532289,-3.4237084,9.308656
Accelerometer,7006717746,1.42455,-3.3758245,9.198523
Gyroscope,7006717748,-0.05832323,0.30146983,-0.536627
Accelerometer,7006717756,1.2856863,-3.2752678,9.114726
Accelerometer,7006717758,1.127669,-3.169923,9.062054
Accelerometer,7006717760,0.90740246,-3.0502129,8.978256
Accelerometer,7006717767,0.6967127,-2.9352913,8.968679
Accelerometer,7006717769,0.49559975,-2.9879637,8.985439
Accelerometer,7006717771,0.31364042,-3.0669725,9.004593
Gyroscope,7006717777,-0.29188246,0.3174488,-0.6346313
Accelerometer,7006717779,0.23463176,-3.1555579,9.064447
Accelerometer,7006717780,0.1436521,-3.1651347,9.033323
Accelerometer,7006717788,0.0,-3.1172507,9.050082
Accelerometer,7006717791,-0.08140286,-3.0430303,9.038112
Accelerometer,7006717798,-0.17238252,-3.0550013,9.054871
Accelerometer,7006717800,-0.2681506,-3.0669725,9.097966
Gyroscope,7006717802,-0.10146644,0.12037488,-0.62584287
Accelerometer,7006717810,-0.3854665,-3.1531637,9.155427
Accelerometer,7006717812,-0.38067806,-3.217807,9.284714
Accelerometer,7006717814,-0.36631286,-3.383007,9.437943
Accelerometer,7006717837,-0.34715924,-3.5362358,9.533711
Accelerometer,7006717840,-0.30645782,-3.7205894,9.7324295
Accelerometer,7006717847,-0.22744916,-3.857059,9.904813
Gyroscope,7006717854,-0.04926848,-0.05566007,-0.5797702
Accelerometer,7006717858,-0.1604115,-3.928885,9.998186
Accelerometer,7006717860,-0.1316811,-3.9504328,9.957485
Accelerometer,7006717863,-0.06703765,-3.833117,9.900024
Accelerometer,7006717864,0.0047884034,-3.6750996,9.7324295
Accelerometer,7006717866,0.079008654,-3.478775,9.67018
Accelerometer,7006717867,0.15083471,-3.2585084,9.471462
Gyroscope,7006717872,0.047137953,-0.068176925,-0.36272255
Accelerometer,7006717883,0.17477672,-3.1411927,9.387665
Accelerometer,7006717885,0.12449849,-3.1172507,9.356541
Accelerometer,7006717891,0.059855044,-3.1172507,9.459491
Accelerometer,7006717893,0.021547815,-3.169923,9.560047
Accelerometer,7006717902,-0.04309563,-3.2632968,9.627085
Accelerometer,7006717904,-0.04309563,-3.383007,9.68694
Gyroscope,7006717906,-0.23515713,0.0974717,-0.19361182
Accelerometer,7006717907,-0.093373865,-3.3877954,9.706094
Accelerometer,7006717910,-0.076614454,-3.2824504,9.691729
Accelerometer,7006718012,-0.0023942017,-3.1364043,9.52174
Accelerometer,7006718019,0.074220255,-3.1124623,9.437943
Accelerometer,7006718025,0.1364695,-3.083732,9.385271
Accelerometer,7006718030,0.19632454,-2.9616275,9.272743
Gyroscope,7006718035,-0.059921127,0.10705908,-0.040480047
Accelerometer,7006718045,0.24899697,-2.9376855,9.205706
Accelerometer,7006718062,0.29448682,-2.9472623,9.179369
Accelerometer,7006718067,0.320823,-3.0095115,9.227253
Accelerometer,7006718076,0.320823,-3.0142999,9.224859
Accelerometer,7006718080,0.35194764,-2.9951463,9.272743
Accelerometer,7006718087,0.4357447,-3.0693667,9.349358
Gyroscope,7006718092,-0.053263225,0.11824436,0.034088463
Accelerometer,7006718096,0.47165772,-3.2489316,9.344569
Accelerometer,7006718101,0.51954174,-3.4476504,9.392453
Accelerometer,7006718105,0.50278234,-3.5577838,9.380483
Accelerometer,7006718110,0.44532153,-3.5434184,9.325416
Accelerometer,7006718114,0.3878607,-3.5936968,9.3182335
Accelerometer,7006718118,0.39025488,-3.6367924,9.382876
Gyroscope,7006718122,-0.016777916,0.07163903,0.05832323
Accelerometer,7006718126,0.49081135,-3.691859,9.313444
Accelerometer,7006718130,0.60573304,-3.6774938,9.308656
Accelerometer,7006718133,0.7062895,-3.6152446,9.255983
Accelerometer,7006718140,0.6847417,-3.550601,9.169792
Accelerometer,7006718144,0.59376204,-3.4979286,9.090784
Accelerometer,7006718151,0.50757074,-3.5434184,9.143456
Gyroscope,7006718155,-0.0055926386,0.06791061,0.13022858
Accelerometer,7006718158,0.533907,-3.58412,9.150639
Accelerometer,7006718162,0.61530983,-3.6415808,9.076419
Accelerometer,7006718165,0.6344634,-3.5769374,9.050082
Accelerometer,7006718170,0.6584055,-3.4500446,9.033323
Accelerometer,7006718241,0.63206923,-3.442862,9.088389
Accelerometer,7006718257,0.6464345,-3.4261026,9.083601
Gyroscope,7006718263,0.07456851,0.032490566,0.06551377
Accelerometer,7006718272,0.62488663,-3.5122938,9.105149
Accelerometer,7006718277,0.50038815,-3.6535518,9.131485
Accelerometer,7006718281,0.39983168,-3.8115692,9.275137
Accelerometer,7006718291,0.2777274,-4.024653,9.660604
Accelerometer,7006718294,0.24660277,-4.144363,9.595961
Accelerometer,7006718297,0.2657564,-4.1299977,9.514558
Gyroscope,7006718311,0.16192019,0.009321064,-0.041279
Accelerometer,7006718314,0.21787235,-3.9504328,9.344569
Accelerometer,7006718324,0.22505496,-3.9671922,9.301474
Accelerometer,7006718331,0.16759412,-4.1706996,9.466674
Accelerometer,7006718341,0.02633622,-4.4077253,9.672575
Accelerometer,7006718346,-0.10534488,-4.5441947,9.895236
Accelerometer,7006718355,-0.1604115,-4.4316673,9.945514
Gyroscope,7006718360,0.10652645,-0.123038046,0.025300032
Accelerometer,7006718363,-0.07182605,-4.1395745,9.737218
Accelerometer,7006718372,-0.031124622,-3.8163576,9.454702
Accelerometer,7006718380,-0.08140286,-3.6296098,9.172187
Accelerometer,7006718407,-0.25378537,-3.6343982,9.069236
Accelerometer,7006718411,-0.5506664,-3.70383,9.330204
Accelerometer,7006718423,-0.6536171,-3.7253778,9.689334
Gyroscope,7006718430,-0.05965481,-0.18056233,0.33662358
Accelerometer,7006718445,-0.6727707,-3.845088,9.624691
Accelerometer,7006718455,-0.6631939,-3.8738184,9.375694
Accelerometer,7006718460,-0.63206923,-3.9025488,8.930372
Accelerometer,7006718468,-0.6919243,-3.7684734,8.805874
Accelerometer,7006718472,-0.6847417,-3.643975,8.882488
Accelerometer,7006718476,-0.7398083,-3.7828386,9.114726
Gyroscope,7006718481,0.12623383,-0.27803403,0.3901531
Accelerometer,7006718484,-0.78050977,-4.0198646,9.351752
Accelerometer,7006718489,-0.7110779,-4.0581717,9.5385
Accelerometer,7006718493,-0.5243302,-3.8905778,9.44752
Accelerometer,7006718496,-0.45010993,-3.5410242,9.308656
Accelerometer,7006718500,-0.35194764,-3.2321723,9.131485
Accelerometer,7006718503,-0.2825158,-3.107674,8.868123
Gyroscope,7006718507,0.31798145,-0.22849922,0.35073832
Accelerometer,7006718510,-0.24181437,-3.1771057,8.846576
Accelerometer,7006718513,-0.17238252,-3.3183637,8.90643
Accelerometer,7006718519,-0.04070143,-3.5194764,9.097966
Accelerometer,7006718542,-0.02873042,-3.7493198,9.284714
Accelerometer,7006718558,-0.055066638,-4.0677485,9.435549
Accelerometer,7006718563,-0.02633622,-4.2281604,9.730036
Gyroscope,7006718580,0.16458336,-0.11371698,0.043675844
Accelerometer,7006718584,0.10295067,-4.1611223,9.885659
Accelerometer,7006718588,0.21787235,-4.0557775,9.782708
Accelerometer,7006718591,0.22744916,-3.8881836,9.603143
