Sensor,Timestamp,X,Y,Z
Accelerometer,6848353255,0.24420857,-0.5506664,9.991004
Accelerometer,6848353264,0.31124622,-1.0390835,10.170568
Accelerometer,6848353269,0.31124622,-1.0390835,10.170568
Accelerometer,6848353284,0.31124622,-1.0390835,10.170568
Accelerometer,6848353290,0.31124622,-1.0390835,10.170568
Accelerometer,6848353295,0.29927522,-0.9983821,10.141838
Gyroscope,6848353305,0.10546118,-0.03834952,0.060720075
Accelerometer,6848353314,0.31124622,-0.8451532,10.065224
Accelerometer,6848353320,0.3854665,-0.6703765,9.91439
Accelerometer,6848353332,0.50038815,-0.58418524,9.844957
Accelerometer,6848353338,0.5554548,-0.59136784,9.837775
Accelerometer,6848353340,0.59136784,-0.7182605,9.931149
Accelerometer,6848353344,0.5722142,-0.90979666,10.048465
Gyroscope,6848353356,-0.07856325,0.0026631611,0.09427591
Accelerometer,6848353363,0.50996494,-1.0941502,10.1226845
Accelerometer,6848353378,0.5506664,-1.1971009,10.213664
Accelerometer,6848353380,0.61291564,-1.1204864,10.149021
Accelerometer,6848353381,0.6703765,-0.9672575,10.072407
Accelerometer,6848353383,0.6799533,-0.770933,9.94312
Accelerometer,6848353384,0.7015011,-0.62249243,9.837775
Gyroscope,6848353432,0.049534798,0.03009372,0.12916331
Accelerometer,6848353438,0.6727707,-0.5770026,9.809045
Accelerometer,6848353449,0.6584055,-0.6799533,9.816227
Accelerometer,6848353453,0.6560113,-0.79487497,9.866506
Accelerometer,6848353462,0.61530983,-0.8475474,9.911995
Accelerometer,6848353475,0.545878,-0.8475474,9.890448
Accelerometer,6848353483,0.49081135,-0.78769237,9.842564
Gyroscope,6848353495,0.020772656,0.050866377,0.1520665
Accelerometer,6848353501,0.48123455,-0.641646,9.792285
Accelerometer,6848353504,0.5267244,-0.59855044,9.799467
Accelerometer,6848353512,0.5315128,-0.62728083,9.797073
Accelerometer,6848353515,0.5793968,-0.61052144,9.864111
Accelerometer,6848353516,0.61291564,-0.6344634,9.873688
Accelerometer,6848353519,0.61291564,-0.56982,9.835381
Gyroscope,6848353521,0.08442221,0.018908445,0.12809806
Accelerometer,6848353523,0.59855044,-0.48841715,9.718064
Accelerometer,6848353527,0.61530983,-0.45250413,9.701305
Accelerometer,6848353529,0.641646,-0.48362875,9.768343
Accelerometer,6848353531,0.61530983,-0.61770403,9.8042555
Accelerometer,6848353534,0.58897364,-0.7781156,9.9550905
Accelerometer,6848353537,0.58657944,-0.8738836,10.055647
Gyroscope,6848353556,0.023702133,0.022104237,0.06791061
Accelerometer,6848353569,0.5650316,-0.90021986,10.125079
Accelerometer,6848353586,0.557849,-0.8451532,10.060435
Accelerometer,6848353588,0.5770026,-0.7469909,9.964667
