Sensor,Timestamp,X,Y,Z
Accelerometer,6857839898,1.7501614,-2.6671407,9.248801
Accelerometer,6857839900,1.7501614,-2.6671407,9.248801
Accelerometer,6857839901,1.7501614,-2.6671407,9.248801
Accelerometer,6857839903,1.7501614,-2.6671407,9.248801
Accelerometer,6857839905,1.7501614,-2.6671407,9.248801
Accelerometer,6857839906,1.7501614,-2.6671407,9.248801
Accelerometer,6857839909,1.7501614,-2.6671407,9.248801
Accelerometer,6857839910,1.7501614,-2.6671407,9.248801
Accelerometer,6857839912,1.7501614,-2.6671407,9.248801
Accelerometer,6857839913,1.8531121,-2.6384103,8.884883
Accelerometer,6857839915,1.8531121,-2.6384103,8.884883
Accelerometer,6857839917,1.8531121,-2.6384103,8.884883
Accelerometer,6857839919,1.8531121,-2.6384103,8.884883
Accelerometer,6857839928,1.8531121,-2.6384103,8.884883
Accelerometer,6857839938,1.8938135,-2.5953147,8.78672
Gyroscope,6857839941,-0.33609092,0.23675503,-0.39388153
Accelerometer,6857839943,1.8890251,-2.5833437,8.66701
Accelerometer,6857839948,1.9776106,-2.60968,8.585608
Accelerometer,6857839958,2.0685902,-2.6240451,8.51857
Accelerometer,6857839960,2.1739352,-2.540248,8.3821
Accelerometer,6857839961,2.183512,-2.3511062,8.236053
Accelerometer,6857839962,2.1643584,-2.2170308,8.066066
Gyroscope,6857839966,-0.6897587,0.39388153,-0.6037386
Accelerometer,6857839969,2.1332338,-2.1930888,7.8793178
Accelerometer,6857839972,2.171541,-2.2026656,7.7428484
Accelerometer,6857839973,2.1284454,-2.4468741,7.728483
Accelerometer,6857839975,2.0590134,-2.8778305,7.965509
Accelerometer,6857839978,1.9560628,-3.2728736,8.293514
Accelerometer,6857839979,1.8459295,-3.6703112,8.487445
Gyroscope,6857839980,-1.1472899,0.52650696,-0.9153285
Accelerometer,6857840085,1.8052281,-3.787627,8.559271
Accelerometer,6857840091,1.7980455,-3.809175,8.475474
Accelerometer,6857840099,1.8076223,-3.7828386,8.3390045
Accelerometer,6857840104,1.9393034,-3.7349546,8.090008
Accelerometer,6857840108,2.0757728,-3.7373488,7.8649526
Accelerometer,6857840112,2.1978772,-3.6415808,7.6470804
Gyroscope,6857840117,-0.9733854,0.38482678,-1.1859057
Accelerometer,6857840121,2.2361844,-3.4572272,7.5201874
Accelerometer,6857840124,2.243367,-3.4476504,7.443573
Accelerometer,6857840129,2.2864625,-3.6272156,7.393295
Accelerometer,6857840132,2.3463178,-3.8379054,7.4148426
Accelerometer,6857840138,2.4492683,-4.06296,7.3166804
Accelerometer,6857840141,2.4875755,-4.19943,7.228095
Gyroscope,6857840144,-1.9273297,0.4495416,-1.4365091
Accelerometer,6857840149,2.5210943,-4.378995,7.1706343
Accelerometer,6857840153,2.4588451,-4.5753193,7.1754227
Accelerometer,6857840163,2.3918076,-4.8482585,7.40766
Accelerometer,6857840169,2.3774424,-4.9344497,7.2544312
Accelerometer,6857840172,2.44448,-5.094861,7.144298
Accelerometer,6857840177,2.6192567,-5.2648497,7.026982
Gyroscope,6857840184,-1.8884475,0.30493194,-1.6740631
