Sensor,Timestamp,X,Y,Z
Accelerometer,7004693137,-0.8451532,-0.92655605,9.933543
Accelerometer,7004693147,-0.8451532,-0.92655605,9.933543
Accelerometer,7004693153,-0.8451532,-0.92655605,9.933543
Accelerometer,7004693155,-0.8451532,-0.92655605,9.933543
Accelerometer,7004693161,-0.8451532,-0.92655605,9.933543
Accelerometer,7004693169,-0.89782566,-0.80924016,9.868899
Gyroscope,7004693171,-0.3581952,0.1488707,0.24261399
Accelerometer,7004693172,-0.7398083,-0.7565677,9.751583
Accelerometer,7004693179,-0.5315128,-0.9672575,9.856929
Accelerometer,7004693180,-0.29927522,-1.1659763,9.91439
Accelerometer,7004693188,-0.1364695,-1.2114661,9.986216
Accelerometer,7004693189,-0.04070143,-1.3072342,10.108319
Accelerometer,7004693193,-0.1364695,-1.3000516,10.220847
Gyroscope,7004693194,-0.24181503,0.33103094,0.5289038
Accelerometer,7004693196,-0.20111294,-1.0271125,9.94312
Accelerometer,7004693199,-0.4309563,-0.94331545,9.962274
Accelerometer,7004693201,-0.23942018,-0.878672,9.677363
Accelerometer,7004693203,-0.6919243,-0.82360536,9.6845455
Accelerometer,7004693291,-0.6703765,-0.80445176,9.540894
Accelerometer,7004693298,-0.8355764,-0.842759,9.528923
Gyroscope,7004693303,-0.0015978967,0.24421188,0.39707732
Accelerometer,7004693308,-0.81881696,-1.2282255,9.835381
Accelerometer,7004693312,-2.1332338,-3.3446999,10.213664
Accelerometer,7004693318,1.8507179,-1.364695,10.508151
Accelerometer,7004693322,2.3295584,-0.49320555,9.6845455
Accelerometer,7004693326,0.5793968,-0.41180268,9.454702
Accelerometer,7004693330,-0.31124622,-0.35194764,9.184157
Gyroscope,7004693334,0.72011876,-0.15925704,-0.45087317
Accelerometer,7004693339,-0.49081135,-0.29448682,9.540894
Accelerometer,7004693342,-0.4213795,-0.31124622,9.785102
Accelerometer,7004693346,-0.4165911,-0.22266077,9.871294
Accelerometer,7004693350,-0.32800564,-0.14604631,9.737218
