Sensor,Timestamp,X,Y,Z
Accelerometer,6858530064,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530067,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530070,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530071,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530073,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530074,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530078,2.4636335,-2.5210943,6.8761473
Accelerometer,6858530080,2.1643584,-3.0813377,6.8067155
Accelerometer,6858530082,2.2720973,-3.5769374,5.884948
Accelerometer,6858530084,2.2720973,-3.5769374,5.884948
Accelerometer,6858530088,2.2720973,-3.5769374,5.884948
Accelerometer,6858530090,2.2720973,-3.5769374,5.884948
Accelerometer,6858530106,2.3774424,-3.6607344,5.6239796
Gyroscope,6858530109,-2.508964,0.4082626,-2.1568942
Accelerometer,6858530111,2.5498247,-3.9145198,5.267244
Accelerometer,6858530117,2.7126305,-4.223372,5.6120086
Accelerometer,6858530120,2.9951463,-4.7740383,5.6120086
Accelerometer,6858530126,3.13401,-5.4659624,5.741296
Accelerometer,6858530136,3.095703,-6.184223,6.0477533
Accelerometer,6858530139,2.8993783,-6.897695,6.4427967
Gyroscope,6858530140,-3.38834,0.65247446,-2.9438584
Accelerometer,6858530142,2.7222073,-7.4842744,6.5720835
Accelerometer,6858530147,2.6431987,-7.8170686,6.7684083
Accelerometer,6858530149,2.6862943,-7.9702973,6.849811
Accelerometer,6858530150,2.825158,-8.039729,6.9862804
Accelerometer,6858530152,2.9999347,-8.250419,7.4244194
Accelerometer,6858530153,2.9712043,-8.66701,7.7548194
Gyroscope,6858530156,-1.5595472,0.3254383,-3.0189595
Accelerometer,6858530158,2.8443117,-9.148245,8.061277
Accelerometer,6858530159,2.908955,-9.40203,8.403648
Accelerometer,6858530161,2.9712043,-9.174581,8.109161
Accelerometer,6858530163,3.3758245,-8.599973,7.517793
Accelerometer,6858530165,4.012682,-8.073248,7.029376
Accelerometer,6858530167,4.297592,-7.7308774,6.6175733
Gyroscope,6858530170,0.007190535,-0.38242993,-3.0131006
Accelerometer,6858530171,4.4101195,-7.4507556,6.447585
Accelerometer,6858530173,4.7740383,-7.469909,6.481104
