Sensor,Timestamp,X,Y,Z
Accelerometer,7001100993,1.448492,-0.076614454,9.794679
Accelerometer,7001101010,1.448492,-0.076614454,9.794679
Accelerometer,7001101022,1.448492,-0.076614454,9.794679
Accelerometer,7001101025,1.448492,-0.076614454,9.794679
Accelerometer,7001101027,1.448492,-0.076614454,9.794679
Accelerometer,7001101055,1.42455,-0.11492168,9.837775
Gyroscope,7001101071,-0.13954964,0.06791061,-0.37284255
Accelerometer,7001101073,1.4221559,-0.11492168,9.888053
Accelerometer,7001101104,1.4053963,-0.09816227,9.931149
Accelerometer,7001101107,1.3742718,-0.007182605,9.9550905
Accelerometer,7001101108,1.3263878,0.06703765,9.928755
Accelerometer,7001101119,1.328782,0.1340753,9.888053
Accelerometer,7001101124,1.30484,0.15801731,9.878476
Gyroscope,7001101138,-0.1520665,0.09134643,-0.40613207
Accelerometer,7001101141,1.2665327,0.17477672,9.888053
Accelerometer,7001101154,1.1707647,0.17477672,9.842564
Accelerometer,7001101156,1.0630256,0.16759412,9.876082
Accelerometer,7001101158,0.9672575,0.1604115,9.902418
Accelerometer,7001101169,0.90740246,0.18195933,9.919178
Accelerometer,7001101171,0.8858546,0.21787235,9.993398
Gyroscope,7001101173,-0.090014845,-0.038615838,-0.44048685
Accelerometer,7001101176,0.8499416,0.22266077,10.053253
Accelerometer,7001101187,0.80684596,0.19871874,10.09156
Accelerometer,7001101189,0.78290397,0.1604115,10.170568
Accelerometer,7001101190,0.7038953,0.1388637,10.18254
Accelerometer,7001101192,0.6631939,0.09816227,10.187328
Accelerometer,7001101204,0.62967503,0.023942016,10.196905
Gyroscope,7001101206,-0.22849922,-0.1603223,-0.47697216
Accelerometer,7001101208,0.60333884,-0.1412579,10.230424
Accelerometer,7001101216,0.59136784,-0.29688102,10.333375
Accelerometer,7001101218,0.6512229,-0.44771573,10.405201
Accelerometer,7001101220,0.7254431,-0.5434838,10.43872
Accelerometer,7001101223,0.78529817,-0.5554548,10.414778
Accelerometer,7001101225,0.842759,-0.50996494,10.381259
Gyroscope,7001101231,-0.02263687,-0.22050974,-0.26897928
Accelerometer,7001101232,0.8834604,-0.40701428,10.328587
Accelerometer,7001101235,0.9696517,-0.2633622,10.228029
Accelerometer,7001101237,1.0941502,-0.15801731,10.220847
Accelerometer,7001101238,1.1971009,-0.11731588,10.2495775
Accelerometer,7001101240,1.3215994,-0.1412579,10.280702
Accelerometer,7001101243,1.3623008,-0.1364695,10.216059
Gyroscope,7001101246,-0.06098639,-0.061519023,-0.21145499
Accelerometer,7001101248,1.3455414,-0.09816227,10.134656
Accelerometer,7001101249,1.3120226,-0.12928689,10.0269165
Accelerometer,7001101251,1.2904748,-0.18435353,9.959879
Accelerometer,7001101252,1.2593501,-0.23702596,9.919178
Accelerometer,7001101256,1.2952632,-0.25857377,9.916783
Accelerometer,7001101258,1.3096284,-0.23702596,9.844957
Gyroscope,7001101261,-0.1587244,0.12170646,-0.3472762
Accelerometer,7001101264,1.3096284,-0.31603462,9.725247
Accelerometer,7001101276,1.2425907,-0.4429273,9.634268
Accelerometer,7001101278,1.151611,-0.63206923,9.624691
Accelerometer,7001101284,1.091756,-0.80205756,9.696517
Accelerometer,7001101286,1.0486604,-0.9576807,9.866506
Accelerometer,7001101296,1.0295067,-1.0007763,9.921572
Gyroscope,7001101298,-0.16804546,0.15233281,-0.31638354
Accelerometer,7001101299,1.091756,-0.8882488,9.94312
Accelerometer,7001101303,1.1540052,-0.7206547,9.911995
Accelerometer,7001101311,1.1875241,-0.5746084,9.864111
Accelerometer,7001101314,1.1540052,-0.47884035,9.782708
Accelerometer,7001101323,1.1611878,-0.40462008,9.775525
Accelerometer,7001101324,1.1875241,-0.33279404,9.78989
Gyroscope,7001101327,-0.11025487,0.13342437,-0.20293288
Accelerometer,7001101330,1.1563994,-0.25139117,9.85214
Accelerometer,7001101331,1.1468226,-0.24420857,9.868899
Accelerometer,7001101334,1.1324574,-0.29209262,9.866506
Accelerometer,7001101336,1.0606314,-0.37349546,9.938332
Accelerometer,7001101343,1.0127473,-0.40701428,9.993398
Accelerometer,7001101344,1.0127473,-0.38307226,10.041282
Gyroscope,7001101346,-0.08468852,0.13422333,-0.27164245
Accelerometer,7001101347,0.9959879,-0.37828386,10.086772
Accelerometer,7001101349,0.9720459,-0.35194764,10.0748005
Accelerometer,7001101430,0.9720459,-0.35673606,10.060435
Accelerometer,7001101436,0.9648633,-0.40222588,10.038888
Accelerometer,7001101442,0.94331545,-0.4429273,10.038888
Accelerometer,7001101447,0.93613285,-0.48362875,10.022128
Gyroscope,7001101456,-0.073236935,0.111852765,-0.29640985
Accelerometer,7001101460,0.92895025,-0.50278234,10.007763
Accelerometer,7001101464,0.93134445,-0.521936,10.019734
Accelerometer,7001101467,0.8738836,-0.58418524,10.014946
Accelerometer,7001101470,0.8882488,-0.60094464,10.04607
Accelerometer,7001101475,0.8810662,-0.61770403,10.043676
Accelerometer,7001101478,0.8643068,-0.6344634,10.014946
Gyroscope,7001101482,-0.025033714,0.05965481,-0.23835292
Accelerometer,7001101486,0.8619126,-0.641646,10.036493
Accelerometer,7001101489,0.8403648,-0.63206923,10.014946
Accelerometer,7001101493,0.8331822,-0.62967503,9.9790325
Accelerometer,7001101496,0.8499416,-0.60573304,9.947908
Accelerometer,7001101500,0.8355764,-0.5746084,9.907207
Accelerometer,7001101504,0.82121116,-0.5434838,9.883265
Gyroscope,7001101510,0.0127831735,0.021571605,-0.16644756
Accelerometer,7001101515,0.80445176,-0.5315128,9.878476
Accelerometer,7001101522,0.7685388,-0.5626374,9.847352
Accelerometer,7001101592,0.78769237,-0.59136784,9.938332
Accelerometer,7001101615,0.80684596,-0.62488663,10.000581
Accelerometer,7001101626,0.8403648,-0.6536171,9.991004
Accelerometer,7001101632,0.866701,-0.56982,9.945514
Gyroscope,7001101637,0.049801115,0.0026631611,-0.12836437
Accelerometer,7001101647,0.89782566,-0.5363012,9.904813
Accelerometer,7001101650,0.8834604,-0.51235914,9.868899
Accelerometer,7001101655,0.8834604,-0.50038815,9.859323
Accelerometer,7001101663,0.89303726,-0.51714754,9.825804
Accelerometer,7001101669,0.8762778,-0.5315128,9.847352
Accelerometer,7001101677,0.8690952,-0.5482722,9.844957
Gyroscope,7001101682,-5.326322E-4,0.017310547,-0.09960223
Accelerometer,7001101685,0.85473,-0.5530606,9.832987
Accelerometer,7001101693,0.82360536,-0.5434838,9.842564
Accelerometer,7001101696,0.8403648,-0.49559975,9.861717
Accelerometer,7001101701,0.85473,-0.51235914,9.885659
Accelerometer,7001101711,0.8571242,-0.5506664,9.878476
Accelerometer,7001101717,0.8475474,-0.5434838,9.861717
Gyroscope,7001101727,0.002396845,0.0063915867,-0.090014845
Accelerometer,7001101746,0.8379706,-0.51954174,9.82341
Accelerometer,7001101762,0.8403648,-0.50517654,9.82341
Accelerometer,7001101780,0.8690952,-0.5267244,9.89763
Accelerometer,7001101798,0.90261406,-0.5554548,9.89763
