Sensor,Timestamp,X,Y,Z
Accelerometer,6999054445,3.3207579,-4.2544966,10.096349
Accelerometer,6999054447,3.3207579,-4.2544966,10.096349
Accelerometer,6999054449,3.98874,-5.291186,8.817844
Accelerometer,6999054451,3.98874,-5.291186,8.817844
Accelerometer,6999054454,3.98874,-5.291186,8.817844
Accelerometer,6999054455,3.98874,-5.291186,8.817844
Accelerometer,6999054457,4.295198,-5.801151,9.030929
Gyroscope,6999054458,-1.3994912,-0.7613978,-1.8724686
Accelerometer,6999054468,4.3478703,-6.1746464,9.5385
Accelerometer,6999054475,4.5034933,-6.993463,10.266336
Accelerometer,6999054478,5.0062757,-7.2951326,10.893618
Accelerometer,6999054487,5.0134583,-7.1251445,11.164163
Accelerometer,6999054489,4.630386,-6.6654577,10.714052
Accelerometer,6999054492,4.51307,-5.81791,10.089166
Gyroscope,6999054494,-0.22530343,-1.1153319,-1.6631441
Accelerometer,6999054497,4.7046065,-5.3558292,9.837775
Accelerometer,6999054504,4.9176903,-4.8961425,9.607931
Accelerometer,6999054507,5.221754,-4.450821,9.320627
Accelerometer,6999054594,5.473145,-4.235343,9.14585
Accelerometer,6999054601,5.556942,-4.1371803,8.9519205
Accelerometer,6999054608,5.542577,-3.9336734,8.724471
Gyroscope,6999054613,-0.47510794,-0.9470201,-1.3438311
Accelerometer,6999054617,5.5258174,-3.53863,8.063671
Accelerometer,6999054621,5.683835,-2.9831753,7.383718
Accelerometer,6999054624,5.920861,-2.540248,6.8067155
Accelerometer,6999054628,6.145916,-2.4157495,6.4284315
Accelerometer,6999054632,6.337452,-2.5330653,6.145916
Accelerometer,6999054635,6.5457473,-2.621651,5.793968
Gyroscope,6999054640,-1.7140105,-0.58749336,-1.535845
Accelerometer,6999054643,6.847417,-2.633622,5.4563856
Accelerometer,6999054646,7.050924,-2.5330653,5.1571107
Accelerometer,6999054649,7.0365586,-2.4827871,4.903325
Accelerometer,6999054654,6.9288197,-2.56419,4.6136265
Accelerometer,6999054657,7.0341644,-2.8419175,4.39336
Accelerometer,6999054662,7.2233067,-3.229778,4.1706996
Gyroscope,6999054665,-3.5710328,-0.18162759,-1.8724686
Accelerometer,6999054672,7.493851,-3.643975,4.177882
Accelerometer,6999054676,7.654263,-4.120421,4.285621
Accelerometer,6999054680,7.5800424,-4.5441947,3.9671922
Accelerometer,6999054745,7.469909,-4.7907977,4.0773253
Accelerometer,6999054768,7.4842744,-4.9943047,4.146757
Accelerometer,6999054775,7.6470804,-5.1786585,4.211401
Gyroscope,6999054787,-4.538027,0.10652645,-1.8325212
Accelerometer,6999054793,7.8984714,-5.482722,3.8618474
Accelerometer,6999054809,8.128315,-5.734113,3.9743748
Accelerometer,6999054823,8.437167,-5.9424086,3.6990416
Accelerometer,6999054834,8.707711,-5.971139,3.9552212
Accelerometer,6999054838,8.868123,-6.021417,3.3494883
Accelerometer,6999054843,9.004593,-6.054936,3.217807
Gyroscope,6999054852,-4.3838296,0.2958772,-1.5965651
Accelerometer,6999054856,9.021352,-6.1985884,3.1555579
Accelerometer,6999054874,9.045294,-6.3661823,2.9352913
Accelerometer,6999054894,9.064447,-6.469133,3.028665
Accelerometer,6999054937,8.983045,-6.4308257,2.8203697
Accelerometer,6999054942,8.9279785,-6.4188547,2.456451
Gyroscope,6999054970,-3.9252331,0.55127436,-1.2213258
Accelerometer,6999054979,8.9040365,-6.3230867,2.4277205
