Sensor,Timestamp,X,Y,Z
Accelerometer,2954088415,0.47884035,1.2401965,9.935937
Accelerometer,2954088418,0.47884035,1.2401965,9.935937
Accelerometer,2954088420,0.47884035,1.2401965,9.935937
Accelerometer,2954088423,0.47884035,1.2401965,9.935937
Accelerometer,2954088424,0.47884035,1.2401965,9.935937
Accelerometer,2954088426,0.58418524,1.5921441,10.0341
Accelerometer,2954088428,0.58418524,1.5921441,10.0341
Accelerometer,2954088430,0.58418524,1.5921441,10.0341
Accelerometer,2954088431,0.58418524,1.5921441,10.0341
Accelerometer,2954088433,0.58418524,1.5921441,10.0341
Accelerometer,2954088434,0.58418524,1.5921441,10.0341
Gyroscope,2954088436,0.06391586,0.20586236,-0.004261058
Accelerometer,2954088437,0.48602295,1.5490485,10.192117
Accelerometer,2954088440,0.32800564,1.3503298,10.268731
Accelerometer,2954088442,-0.023942016,1.3934253,10.280702
Accelerometer,2954088443,-0.02873042,1.4867992,10.342952
Accelerometer,2954088445,0.94570965,1.532289,10.340557
Accelerometer,2954088446,1.5610195,1.3934253,10.2495775
Gyroscope,2954088449,0.047670584,0.14966966,-0.028495824
Accelerometer,2954088451,0.91937345,0.9935937,10.244789
Accelerometer,2954088452,0.11492168,0.6847417,10.213664
Accelerometer,2954088454,-0.1340753,0.6464345,10.053253
Accelerometer,2954088455,-0.11492168,0.9552865,9.856929
Accelerometer,2954088553,-0.21068975,1.388637,9.485827
Accelerometer,2954088559,-0.33518824,1.8818425,9.23683
Gyroscope,2954088564,0.34301516,0.049801115,0.024767399
Accelerometer,2954088570,-0.18914193,2.1691468,9.234436
Accelerometer,2954088573,-0.076614454,2.0949266,9.308656
Accelerometer,2954088578,-0.37828386,1.7764976,9.502586
Accelerometer,2954088582,-0.90740246,1.3120226,9.744401
Accelerometer,2954088588,-1.2210429,0.89782566,9.904813
Accelerometer,2954088592,-1.2066777,0.7206547,10.081984
Gyroscope,2954088596,-0.077231675,-0.005060006,-0.056459017
Accelerometer,2954088600,-0.878672,0.7422025,10.022128
Accelerometer,2954088604,-0.3878607,0.9528923,9.866506
