Sensor,Timestamp,X,Y,Z
Accelerometer,7000574755,1.7788919,-1.3503298,8.046912
Accelerometer,7000574758,1.7788919,-1.3503298,8.046912
Accelerometer,7000574769,1.7788919,-1.3503298,8.046912
Accelerometer,7000574771,1.7788919,-1.3503298,8.046912
Accelerometer,7000574773,1.7788919,-1.3503298,8.046912
Accelerometer,7000574774,1.7788919,-1.3503298,8.046912
Gyroscope,7000574808,-0.644485,-0.17070863,-0.85301054
Accelerometer,7000574823,1.8962077,-1.6280571,8.14268
Accelerometer,7000574856,1.9728222,-1.7286136,8.248025
Accelerometer,7000574868,2.054225,-1.7429788,8.264784
Accelerometer,7000574871,2.1883004,-1.6041151,8.291121
Accelerometer,7000574885,2.3343468,-1.4772224,8.408437
Accelerometer,7000574891,2.5115175,-1.448492,8.556877
Gyroscope,7000574903,-1.1787151,-0.35792887,-1.2692626
Accelerometer,7000574916,2.7150247,-1.5370775,8.760384
Accelerometer,7000574920,2.8060043,-1.769315,9.030929
Accelerometer,7000574921,2.7030537,-2.1523874,9.062054
Accelerometer,7000574923,2.6192567,-2.6312277,9.176975
Accelerometer,7000574933,2.585738,-3.0813377,9.090784
Accelerometer,7000574935,2.719813,-3.2968156,9.385271
Gyroscope,7000574937,-1.5571504,-0.22556975,-1.3611417
Accelerometer,7000574939,2.8419175,-3.5649664,9.504981
Accelerometer,7000574950,2.815581,-3.763685,9.507375
Accelerometer,7000574952,2.6791117,-3.6128504,9.356541
Accelerometer,7000574954,2.6408045,-3.2489316,8.99741
Accelerometer,7000574955,2.6503813,-2.8514943,8.578424
Accelerometer,7000574966,2.7605145,-2.7269957,8.343793
Gyroscope,7000574968,-1.0610034,-0.28975195,-1.4444987
Accelerometer,7000574971,3.0190883,-2.7700913,8.322245
Accelerometer,7000574972,3.145981,-3.0669725,8.470686
Accelerometer,7000574978,3.2824504,-3.2872388,8.310274
Accelerometer,7000574981,3.7062242,-3.514688,8.269572
Accelerometer,7000574982,3.6128504,-3.7134068,8.279149
Accelerometer,7000574984,3.6655228,-4.06296,8.1881695
Gyroscope,7000574985,-1.7150757,0.006657903,-1.4924355
Accelerometer,7000574987,3.8019924,-4.6926355,8.42759
Accelerometer,7000574989,3.7110126,-5.327099,8.693346
Accelerometer,7000574993,3.7900212,-5.425261,8.652645
Accelerometer,7000574994,4.024653,-5.403713,8.358158
Accelerometer,7000574996,4.098873,-5.12838,7.8050976
Accelerometer,7000574999,4.122815,-4.6136265,7.237672
Gyroscope,7000575001,-1.2029499,-0.037550572,-1.9318571
Accelerometer,7000575003,4.1036615,-4.560954,7.16824
Accelerometer,7000575005,3.8762126,-4.8937483,7.2328835
Accelerometer,7000575007,3.6631286,-5.4444146,7.4507556
Accelerometer,7000575010,3.478775,-6.1890116,7.4842744
Accelerometer,7000575011,3.4165258,-6.7253127,7.5106106
Accelerometer,7000575013,3.3566709,-7.0006456,7.630321
Gyroscope,7000575014,-1.2104068,-0.076166406,-1.6008261
Accelerometer,7000575016,3.371036,-7.074866,7.627927
Accelerometer,7000575019,3.5098996,-6.813898,7.785944
Accelerometer,7000575020,3.7780502,-6.6415157,7.797915
Accelerometer,7000575022,3.9911342,-6.459556,7.704541
Accelerometer,7000575037,4.1922474,-6.1985884,7.5968018
Accelerometer,7000575040,4.345476,-5.693412,7.501034
Gyroscope,7000575042,-0.023435818,-0.5789712,-1.4207965
Accelerometer,7000575144,4.3478703,-5.374983,7.216124
Accelerometer,7000575150,4.2281604,-5.74369,6.351817
Accelerometer,7000575161,4.2281604,-6.217742,6.5720835
Accelerometer,7000575164,4.268862,-6.5361705,7.204153
Accelerometer,7000575169,4.4939165,-6.691794,7.654263
Accelerometer,7000575172,4.72376,-6.4523735,7.8050976
Gyroscope,7000575176,0.53502905,-0.9600696,-0.91186637
Accelerometer,7000575180,5.233725,-5.29358,7.81228
Accelerometer,7000575183,5.439626,-4.9081135,7.6614456
Accelerometer,7000575186,5.8346696,-4.280833,7.433996
Accelerometer,7000575191,6.066907,-4.232949,7.489063
Accelerometer,7000575194,6.0142345,-4.745308,7.16824
Accelerometer,7000575199,5.947197,-5.231331,7.299921
Gyroscope,7000575202,0.22370553,-0.7576693,-0.63223445
Accelerometer,7000575205,6.0046577,-5.461174,7.321469
Accelerometer,7000575210,6.1985884,-5.6790466,7.477092
Accelerometer,7000575213,6.303933,-5.8825536,7.4028716
Accelerometer,7000575220,6.4068837,-5.803545,7.524976
Accelerometer,7000575224,6.6726403,-5.4085016,7.5824366
Accelerometer,7000575229,6.88333,-4.867412,7.5944076
Gyroscope,7000575232,0.7603325,-0.61705446,-0.35100463
Accelerometer,7000575237,6.9503675,-4.307169,7.536947
Accelerometer,7000575241,6.9503675,-4.0701427,7.311892
Accelerometer,7000575314,6.909666,-4.06296,7.2592196
Accelerometer,7000575332,6.8522053,-4.144363,7.3071036
Accelerometer,7000575341,6.646304,-4.3885717,7.3430166
Accelerometer,7000575345,6.2105594,-4.865018,7.2687964
Gyroscope,7000575349,-0.16751283,0.016777916,-0.13848437
Accelerometer,7000575353,5.8945246,-5.2720323,7.323863
Accelerometer,7000575362,5.710171,-5.6766524,7.189788
Accelerometer,7000575365,5.671864,-5.66947,7.3430166
Accelerometer,7000575374,5.889736,-5.1786585,7.48188
Accelerometer,7000575381,6.160281,-4.465186,7.4746976
Accelerometer,7000575385,6.291962,-3.9312792,7.2304893
Gyroscope,7000575394,0.7323693,0.066046394,0.14274544
Accelerometer,7000575399,6.291962,-3.8187518,7.1514807
Accelerometer,7000575402,6.349423,-4.175488,7.1993647
Accelerometer,7000575411,6.4404025,-4.6471453,7.589619
Accelerometer,7000575414,6.6079965,-5.0661306,7.93199
Accelerometer,7000575419,6.825869,-5.2624555,7.97748
Accelerometer,7000575428,7.017405,-4.9200845,7.7452426
Gyroscope,7000575431,0.30839407,0.5041364,0.2759035
Accelerometer,7000575436,7.03177,-4.8003745,7.517793
Accelerometer,7000575449,7.055712,-4.5418005,7.290344
Accelerometer,7000575459,6.9240313,-4.426879,7.2448545
Accelerometer,7000575462,6.777985,-4.4843397,7.3071036
Accelerometer,7000575467,6.5864487,-4.4340615,7.4363904
Accelerometer,7000575476,6.217742,-4.213795,7.515399
Gyroscope,7000575479,-0.051132694,0.69535136,0.4428837
Accelerometer,7000575483,6.0645127,-4.1802764,7.5441294
Accelerometer,7000575514,5.686229,-4.309563,7.517793
Accelerometer,7000575524,5.363012,-4.5920787,7.606379
Accelerometer,7000575532,5.08289,-4.3622355,7.735666
Accelerometer,7000575537,5.08289,-4.3622355,7.735666
Accelerometer,7000575540,4.855441,-3.6727054,7.52737
Gyroscope,7000575543,0.17257284,0.6383597,0.6945524
Accelerometer,7000575548,4.76925,-3.4811692,7.4866686
Accelerometer,7000575553,4.6495395,-3.241749,7.541735
Accelerometer,7000575557,4.6495395,-3.2010477,7.6590514
Accelerometer,7000575561,4.644751,-3.2872388,7.716512
Accelerometer,7000575567,4.608838,-3.2249897,7.8050976
Accelerometer,7000575590,4.5801077,-3.0358477,7.73806
Gyroscope,7000575600,0.19920446,0.5475459,0.6673882
Accelerometer,7000575609,4.5441947,-2.9903579,7.627927
Accelerometer,7000575613,4.522647,-2.8682537,7.5082164
Accelerometer,7000575618,4.510676,-2.7150247,7.3885064
Accelerometer,7000575622,4.4484267,-2.566584,7.252037
Accelerometer,7000575633,4.3957543,-2.3630772,7.0221934
Accelerometer,7000575643,4.3358994,-2.291251,6.799533
Gyroscope,7000575649,-0.20106867,0.5289038,0.350472
Accelerometer,7000575653,4.331111,-2.2218192,6.7133417
Accelerometer,7000575657,4.309563,-2.1571758,6.5936313
Accelerometer,7000575671,4.3263226,-2.0925324,6.4906807
Accelerometer,7000575676,4.3023806,-2.018312,6.2225304
Accelerometer,7000575700,4.235343,-2.0350714,5.853823
